CONGRESSIONAL DISTRICT,UNKNOWN,UNKNOWN FEMALE,UNKNOWN MALE,OTHER UNKNOWN,OTHER FEMALE,OTHER MALE,NATIVE-AM UNKNOWN,NATIVE-AM FEMALE,NATIVE-AM MALE,HISP-LT UNKNOWN,HISP-LT FEMALE,HISP-LT MALE,ASIA-PI UNKNOWN,ASIA-PI FEMALE,ASIA-PI MALE,WHITE UNKNOWN,WHITE FEMALE,WHITE MALE,BLACK UNKNOWN,BLACK FEMALE,BLACK MALE,TOTAL
Congressional District 1,6.07,7.89,6.67,0.00,8.34,7.50,0.00,7.17,4.01,0.00,4.85,5.29,0.00,5.75,5.83,5.29,17.74,19.33,5.81,18.50,14.06,16.29
Congressional District 2,3.75,7.63,5.60,0.00,7.34,7.29,0.00,8.79,8.44,11.11,5.03,4.38,0.00,5.69,4.82,3.19,19.17,21.78,2.25,20.61,16.21,18.35
Congressional District 3,4.59,10.21,9.19,6.67,9.68,8.28,0.00,7.66,7.61,0.00,6.22,6.16,0.00,6.14,4.76,9.77,20.07,21.93,9.09,16.74,13.38,18.09
Congressional District 4,7.25,11.10,7.44,0.00,11.03,9.22,0.00,5.65,6.75,3.85,8.00,6.51,7.14,6.34,6.05,14.81,24.20,23.67,11.43,21.01,14.68,18.15
Congressional District 5,5.09,13.79,9.87,3.57,12.87,10.14,0.00,4.23,3.90,4.17,10.10,9.09,2.94,9.43,8.06,17.48,22.94,20.86,6.34,18.84,12.67,16.84
Congressional District 6,10.28,11.23,9.43,4.55,12.77,11.68,0.00,12.71,8.05,0.00,9.72,8.81,9.09,8.38,8.06,9.96,21.40,21.08,10.81,18.09,13.60,18.06
Congressional District 7,13.21,13.25,11.93,7.46,11.51,10.47,0.00,7.24,10.97,4.00,8.05,6.67,7.86,8.39,9.68,11.72,20.29,20.84,10.50,16.64,12.52,16.23
Congressional District 8,4.00,7.44,6.69,0.00,7.73,8.87,0.00,4.91,6.28,20.00,5.11,5.22,0.00,5.06,5.49,3.60,18.90,22.08,3.57,16.53,13.64,17.70
Congressional District 9,10.24,10.14,9.18,0.00,10.06,8.75,0.00,7.41,10.04,3.03,6.88,5.25,0.00,6.57,4.83,9.87,21.33,23.30,14.29,14.44,11.23,19.75
Congressional District 10,10.65,11.54,9.74,0.00,11.33,9.68,0.00,8.29,14.29,6.67,8.14,7.30,12.50,8.04,6.86,11.97,21.71,23.34,19.23,21.35,16.64,20.05
Congressional District 11,8.17,8.56,7.13,8.70,9.96,9.27,0.00,7.22,8.85,0.00,6.02,5.44,0.00,6.53,5.89,8.33,17.26,18.25,2.86,15.29,11.49,15.44
Congressional District 12,2.71,8.54,7.37,10.53,9.63,10.04,0.00,4.76,8.25,5.88,6.10,6.88,0.00,9.18,10.07,9.74,21.67,24.48,3.50,22.33,18.88,20.27
Congressional District 13,5.85,11.69,7.83,4.76,9.66,8.89,0.00,8.53,4.29,0.00,6.14,5.21,0.00,5.37,4.49,0.00,17.89,19.14,8.40,19.40,14.35,16.18
Congressional District 14,2.91,6.79,6.16,0.00,5.68,6.90,0.00,8.12,4.66,7.69,5.58,4.47,0.00,6.23,5.46,4.24,15.29,17.77,4.17,14.34,11.45,14.69
TOTAL,7.29,10.48,8.50,4.96,10.52,9.51,0.00,7.26,7.48,3.59,7.16,6.31,5.77,7.60,7.61,9.06,19.76,21.20,6.12,19.12,14.31,17.55
