AGE GROUP,ASIA-PI,BLACK,HISP-LT,NATIVE-AM,OTHER,WHITE,UNKNOWN,TOTAL
18-24,18.82,19.09,20.00,15.79,20.48,33.16,15.06,25.82
25-29,29.73,23.82,14.39,11.11,21.67,32.41,21.42,27.92
30-34,18.92,32.01,21.18,40.00,32.65,40.53,29.40,36.34
35-39,33.33,41.93,31.87,60.00,38.46,47.71,37.26,44.34
40-44,24.39,44.32,37.66,57.14,40.62,54.09,39.71,49.57
45-49,39.62,53.35,31.68,0.00,40.62,58.87,40.53,54.81
50-54,52.94,57.21,40.23,75.00,51.22,61.38,42.56,58.18
55-59,51.61,57.04,37.04,38.46,67.65,66.48,47.90,62.30
60-64,50.00,67.27,46.94,50.00,53.66,71.36,52.71,68.57
65-OVER,40.30,66.33,43.30,28.57,54.17,74.19,57.16,71.56
TOTAL,34.79,45.44,29.75,35.53,39.72,59.77,38.60,53.80
