AGE GROUP,ASIA-PI,BLACK,HISP-LT,NATIVE-AMERICAN,OTHER,WHITE,UNKNOWN,TOTAL
25-29,33.33,30.44,31.94,25.0,10.53,39.74,23.53,32.82
30-34,16.67,47.02,36.73,100.0,20.0,49.74,34.07,46.68
35-39,25.0,50.5,42.86,50.0,42.86,55.6,31.25,50.91
40-44,40.0,57.9,50.0,0.0,40.0,58.22,34.43,56.31
45-49,60.0,65.79,34.62,100.0,83.33,64.18,54.41,63.87
50-54,62.5,64.11,48.48,100.0,71.43,70.89,37.14,66.1
55-59,54.55,69.48,48.57,50.0,30.0,76.58,34.62,71.09
60-64,50.0,73.48,57.14,100.0,80.0,76.26,49.23,73.7
65-OVER,64.71,71.08,44.0,60.0,75.0,74.83,50.43,72.62
TOTAL,47.06,58.1,41.84,55.0,43.21,67.08,37.83,61.2
