AGE GROUP,ASIA-PI,BLACK,HISP-LT,NATIVE-AMERICAN,OTHER,WHITE,UNKNOWN,TOTAL
25-29,23.81,29.77,21.43,21.82,26.55,32.26,23.97,29.77
30-34,21.69,38.2,23.82,19.61,33.7,37.96,27.49,36.17
35-39,31.74,44.97,30.76,29.41,40.51,44.83,32.92,43.09
40-44,39.17,51.35,36.84,29.03,44.66,50.85,35.43,49.06
45-49,46.05,57.41,38.57,34.38,49.71,57.58,39.01,55.36
50-54,39.9,61.3,43.18,31.03,49.02,60.98,37.42,58.53
55-59,43.4,64.28,51.43,46.67,46.21,65.2,40.74,62.23
60-64,47.34,69.36,55.85,35.71,46.55,70.9,43.4,67.8
65-OVER,48.69,72.79,53.6,51.43,66.33,73.6,46.01,71.38
TOTAL,36.63,53.77,34.11,30.74,41.27,57.81,35.37,53.57
