,PRECINCT NAME,MALE,FEMALE,UNKNOWN,TOTAL
0,BA,59.6,64.71,50.0,62.32
1,BT,56.67,61.78,33.33,59.26
2,CO,38.78,52.58,100.0,46.89
3,FI,52.49,60.33,28.57,56.94
4,FS,53.22,60.32,0.0,57.12
5,HC,57.58,64.64,50.0,61.32
6,HI,58.28,62.6,66.67,60.67
7,LA,49.49,57.51,0.0,53.68
8,LO,64.48,71.3,20.0,67.96
9,MA,55.46,60.58,100.0,58.2
10,MI,44.97,56.89,50.0,51.68
11,OT,39.38,50.73,57.14,46.17
12,RO,55.26,62.88,44.44,59.42
13,SM,57.51,66.23,0.0,62.18
14,SP,56.06,65.22,50.0,61.07
15,ST,60.04,66.25,50.0,63.34
16,TOTAL,53.53,61.05,45.59,57.66
