AGE GROUP,ASIA-PI,BLACK,HISP-LT,NATIVE-AMERICAN,OTHER,WHITE,UNKNOWN,TOTAL
25-29,0.0,44.22,30.0,50.0,0.0,42.37,20.69,40.19
30-34,0.0,46.85,0.0,0.0,40.0,47.65,27.91,45.15
35-39,0.0,54.55,50.0,0.0,16.67,54.07,31.03,52.35
40-44,50.0,60.22,40.0,0.0,33.33,64.27,76.47,63.89
45-49,66.67,69.23,0.0,0.0,0.0,65.25,48.65,64.74
50-54,0.0,68.24,50.0,100.0,0.0,69.12,40.48,67.36
55-59,0.0,70.53,0.0,0.0,100.0,72.65,27.5,69.87
60-64,100.0,73.81,50.0,100.0,33.33,74.18,35.71,71.82
65-OVER,20.0,75.99,0.0,0.0,66.67,76.31,44.44,74.97
TOTAL,35.0,65.86,23.08,44.44,32.26,66.23,37.99,64.21
