AGE GROUP,ASIA-PI,BLACK,HISP-LT,NATIVE-AMERICAN,OTHER,WHITE,UNKNOWN,TOTAL
25-29,11.11,33.33,42.31,0.0,37.5,44.07,29.25,40.9
30-34,33.33,44.29,57.14,50.0,38.46,54.11,46.25,52.06
35-39,37.5,54.61,33.33,100.0,37.5,60.78,33.52,56.18
40-44,44.44,59.06,50.0,0.0,75.0,66.01,37.29,62.64
45-49,60.0,64.66,80.0,0.0,33.33,69.69,37.65,65.88
50-54,50.0,65.38,75.0,25.0,100.0,70.89,38.28,67.85
55-59,44.44,66.67,58.33,0.0,50.0,75.05,39.29,71.11
60-64,85.71,73.81,77.78,0.0,50.0,77.68,38.98,74.59
65-OVER,61.9,74.42,66.67,66.67,88.89,78.93,46.25,76.49
TOTAL,49.0,60.97,56.25,38.46,56.45,69.0,38.62,65.37
