,PRECINCT NAME,ASIAN-PACIFIC,BLACK,LATINO,NATIVE-AMERICAN,OTHER,WHITE,UNKNOWN,TOTAL
0,CHICOPEE,28.36,48.99,38.07,50.0,44.44,56.68,25.98,44.65
1,OAKWOOD I,34.38,47.55,45.48,0.0,51.52,51.97,28.82,46.87
2,OAKWOOD II,36.59,49.44,45.99,0.0,57.14,64.16,33.2,58.17
3,FLOWERY BRANCH I,42.31,56.17,39.63,16.67,46.15,62.81,36.38,58.21
4,FLOWERY BRANCH II,41.18,50.75,47.98,50.0,48.57,59.15,35.19,54.32
5,ROBERTS,40.18,57.97,38.97,62.5,46.15,61.49,37.06,56.88
6,MORGAN I,40.0,52.11,40.65,60.0,52.17,64.02,37.69,59.2
7,MORGAN II,31.91,56.62,42.96,60.0,48.39,63.72,32.52,56.67
8,CANDLER,27.56,62.65,39.98,60.0,46.34,63.63,30.25,54.33
9,TADMORE,18.18,53.65,35.53,16.67,29.03,48.94,18.42,39.65
10,GLADE,25.0,44.24,36.48,25.0,40.62,55.18,22.75,48.17
11,LULA,43.75,51.08,40.24,66.67,33.33,58.98,33.09,54.61
12,CLERMONT,0.0,52.38,31.03,0.0,52.63,66.29,40.72,63.23
13,QUILLIANS,36.36,41.94,45.71,50.0,47.37,70.54,34.92,65.58
14,BARK CAMP,25.81,47.96,44.98,50.0,54.84,58.64,32.2,54.44
15,CHESTATEE,33.33,57.14,35.71,100.0,45.0,63.52,40.92,59.16
16,FORK,33.33,48.89,41.32,28.57,63.16,65.41,40.89,60.99
17,WHELCHEL,48.15,46.81,43.48,66.67,61.9,64.38,34.04,59.9
18,WEST WHELCHEL,42.11,64.86,42.67,0.0,68.75,72.3,58.03,70.33
19,GAINESVILLE I,45.45,43.54,33.1,75.0,34.38,61.9,28.14,53.02
20,GAINESVILLE II,47.62,57.11,30.67,50.0,21.43,34.03,19.13,44.91
21,GAINESVILLE III,26.61,39.14,31.92,16.67,38.46,39.34,19.85,33.5
22,GAINESVILLE IV,40.91,30.77,33.21,100.0,51.85,60.45,24.57,48.28
23,GAINESVILLE V,46.15,30.56,29.73,50.0,35.71,51.67,30.66,44.22
24,GILLSVILLE,66.67,56.82,40.0,0.0,60.0,68.01,37.84,63.06
25,BIG HICKORY,58.33,50.0,42.22,66.67,68.42,68.91,41.18,65.63
26,FRIENDSHIP I,46.75,59.64,50.42,71.43,56.16,68.52,57.26,65.88
27,FRIENDSHIP II,33.33,60.18,49.69,66.67,51.85,62.35,40.67,58.3
28,FRIENDSHIP III,40.43,58.85,53.94,100.0,63.89,58.37,40.28,55.66
29,FRIENDSHIP IV,41.3,69.16,53.61,40.0,37.14,70.57,54.27,66.78
30,88888,0.0,0.0,0.0,0.0,0.0,3.12,0.0,2.17
31,TOTAL,35.03,51.47,39.0,49.6,47.06,62.13,33.63,55.33
