AGE GROUP,ASIA-PI,BLACK,HISP-LT,NATIVE-AMERICAN,OTHER,WHITE,UNKNOWN,TOTAL
25-29,21.35,34.45,30.11,25.0,36.11,39.75,25.65,36.34
30-34,30.14,47.79,39.64,100.0,43.28,48.57,38.4,46.52
35-39,34.78,54.55,44.34,28.57,51.9,53.9,43.09,51.97
40-44,51.75,57.75,44.44,50.0,51.81,60.46,45.83,57.62
45-49,54.39,63.79,49.78,83.33,52.17,66.79,49.22,63.72
50-54,52.13,68.57,50.63,55.56,73.13,69.95,53.69,67.37
55-59,49.43,72.45,53.85,70.0,53.33,72.66,56.15,70.27
60-64,44.44,72.14,57.14,33.33,65.96,74.83,51.44,71.72
65-OVER,49.02,74.41,46.22,25.0,62.69,76.8,54.93,74.14
TOTAL,43.71,61.0,45.06,54.0,52.86,65.22,46.24,61.75
