,PRECINCT NAME,MALE,FEMALE,UNKNOWN,TOTAL
0,WINSTON,55.78,57.72,100.0,56.92
1,DOG RIVER LIBRARY,64.14,68.19,80.0,66.22
2,COLONIAL HILLS,32.93,44.48,20.0,39.5
3,EPHESUS BAPTIST CHUR,66.69,67.68,50.0,67.19
4,PRAYS MILL GYM,58.29,61.35,40.0,59.9
5,TURNER,50.58,55.99,40.0,53.52
6,FIRST BAPTIST LITHIA,51.5,55.37,100.0,53.57
7,LITHIA SPRINGS HIGH,50.0,58.87,16.67,54.96
8,DEER LICK,50.85,55.29,50.0,53.2
9,GOLDEN METHODIST CH,42.11,55.25,20.0,49.88
10,OLD COURTHOUSE,41.85,49.73,0.0,46.41
11,BEULAH BAPTIST,53.81,59.25,50.0,56.72
12,STEWART,44.14,55.98,57.14,51.19
13,ARBOR STATION,47.66,53.94,60.0,51.17
14,BRIGHT STAR,53.82,57.16,25.0,55.61
15,DORSETT SHOALS,49.58,53.89,50.0,51.88
16,CHAPEL HILL,57.29,64.71,66.67,61.3
17,CHURCH AT CHAPEL HILL,57.6,64.08,46.15,61.14
18,CHESTNUT LOG,52.55,61.72,25.0,57.63
19,ST JULIANS EPISCOPAL,53.37,59.62,66.67,56.88
20,LUTHERAN CHURCH - GS,59.57,65.14,25.0,62.45
21,FIRST BAPTIST,64.18,70.88,100.0,67.83
22,FACTORY SHOALS,57.66,65.65,37.5,61.92
23,BOUNDARY WATERS,52.45,62.94,25.0,58.35
24,88888,0.0,3.7,0.0,1.71
25,99999,3.39,0.0,0.0,1.79
26,TOTAL,52.7,59.11,42.11,56.21
