,PRECINCT NAME,MALE,FEMALE,UNKNOWN,TOTAL
0,ROCKBRIDGE A,50.69,62.55,55.56,57.29
1,DACULA,54.24,59.38,55.0,56.95
2,SUWANEE A,45.96,52.86,66.67,49.83
3,BAYCREEK A,64.49,66.09,55.56,65.29
4,GOODWINS A,52.23,57.76,61.54,55.04
5,DULUTH A,58.88,62.36,73.91,60.74
6,DUNCANS A,61.82,64.61,50.0,63.25
7,PUCKETTS A,60.17,63.51,50.0,61.86
8,CATES A,58.46,62.02,60.0,60.42
9,BERKSHIRE A,44.17,51.54,28.57,47.99
10,BERKSHIRE B,45.62,52.01,46.67,48.98
11,DUNCANS C,64.41,66.47,66.67,65.45
12,GARNERS A,62.19,67.67,58.33,65.01
13,LAWRENCEVILLE A,42.42,49.46,27.78,46.3
14,LAWRENCEVILLE B,53.35,58.85,44.44,56.31
15,MARTINS A,40.35,50.17,58.33,45.67
16,MARTINS B,45.53,52.5,64.71,49.43
17,MARTINS C,49.87,59.76,83.33,55.37
18,PINKCNEYVILLE A,38.92,48.5,55.56,43.97
19,PINCKNEYVILLE B,36.72,43.71,63.64,40.6
20,PINCKNEYVILLE C,63.52,68.94,75.0,66.56
21,PINCKNEYVILLE D,36.1,46.8,36.36,41.75
22,SUGAR HILL A,46.31,52.06,38.89,49.33
23,SUGAR HILL B,50.35,53.95,46.67,52.24
24,HOG MOUNTAIN A,48.26,52.54,63.16,50.65
25,HOG MOUNTAIN B,60.78,64.2,41.18,62.52
26,ROCKYCREEK A,58.88,61.14,55.56,60.07
27,CATES B,62.84,65.38,16.67,63.99
28,CATES C,52.75,61.66,30.0,57.63
29,HOG MOUNTAIN D,53.89,56.64,63.16,55.37
30,BERKSHIRE D,61.59,63.66,66.67,62.68
31,BERKSHIRE E,65.0,67.58,75.0,66.37
32,BERKSHIRE F,47.08,52.6,66.67,50.16
33,CATES D,57.33,62.37,50.0,59.93
34,CATES E,64.7,69.04,57.14,66.95
35,PINCKNEYVILLE E,37.77,46.55,50.0,42.57
36,PINCKNEYVILLE F,40.1,46.81,30.0,43.58
37,DUNCANS D,57.92,60.7,46.15,59.4
38,PINCKNEYVILLE H,61.11,64.89,55.56,63.04
39,BAYCREEK B,53.65,64.45,60.87,59.62
40,LAWRENCEVILLE C,55.02,59.52,60.0,57.4
41,MARTINS D,37.93,48.2,53.85,43.65
42,ROCKBRIDGE B,49.14,58.58,50.0,54.31
43,GARNERS B,59.19,64.41,100.0,61.99
44,CATES F,61.27,65.28,66.67,63.47
45,CATES G,64.16,66.16,81.82,65.26
46,DULUTH B,50.75,54.04,62.5,52.5
47,GARNERS C,52.56,58.73,50.0,55.81
48,PINCKNEYVILLE I,42.47,49.7,50.0,46.57
49,PINCKNEYVILLE J,32.71,43.45,52.63,38.68
50,BERKSHIRE G,63.75,66.07,60.0,64.94
51,CATES H,47.29,55.67,76.47,52.2
52,SUGAR HILL C,56.68,58.53,69.23,57.67
