AGE GROUP,ASIA-PI,BLACK,HISP-LT,NATIVE-AMERICAN,OTHER,WHITE,UNKNOWN,TOTAL
25-29,0.0,36.84,0.0,0.0,60.0,53.85,21.88,44.19
30-34,0.0,44.69,0.0,0.0,0.0,57.14,17.65,49.88
35-39,0.0,46.02,100.0,0.0,33.33,68.45,40.0,56.8
40-44,0.0,60.22,40.0,50.0,100.0,63.55,32.0,60.14
45-49,25.0,68.16,0.0,0.0,0.0,76.04,43.48,70.82
50-54,33.33,65.24,100.0,0.0,0.0,76.78,56.25,70.99
55-59,100.0,68.99,100.0,66.67,100.0,80.77,17.14,72.85
60-64,33.33,72.05,0.0,0.0,0.0,78.42,38.71,73.74
65-OVER,66.67,70.08,50.0,0.0,75.0,79.2,46.43,75.15
TOTAL,37.5,61.97,46.67,42.86,62.5,74.12,36.23,67.55
