AGE GROUP,ASIA-PI,BLACK,HISP-LT,NATIVE-AMERICAN,OTHER,WHITE,UNKNOWN,TOTAL
25-29,0.0,42.77,20.0,0.0,25.0,52.63,25.53,44.72
30-34,0.0,48.03,66.67,0.0,50.0,50.29,40.74,48.66
35-39,0.0,59.23,66.67,0.0,0.0,70.76,53.57,64.37
40-44,50.0,56.3,0.0,0.0,0.0,68.72,44.44,62.6
45-49,50.0,63.4,50.0,100.0,0.0,73.93,30.43,67.57
50-54,0.0,69.47,0.0,0.0,0.0,73.51,57.89,71.36
55-59,100.0,64.65,50.0,0.0,0.0,74.83,50.0,69.83
60-64,0.0,65.59,100.0,0.0,0.0,77.11,92.31,73.01
65-OVER,66.67,68.14,0.0,0.0,0.0,81.85,51.22,76.34
TOTAL,45.45,61.39,54.55,50.0,20.0,72.93,45.38,67.05
