AGE GROUP,ASIA-PI,BLACK,HISP-LT,NATIVE-AM,OTHER,WHITE,UNKNOWN,TOTAL
18-24,50.00,30.14,42.11,0.00,10.34,33.37,14.83,28.53
25-29,0.00,23.75,26.32,0.00,26.32,33.59,24.50,31.17
30-34,16.67,35.21,15.38,0.00,16.67,43.40,33.66,41.06
35-39,41.67,43.14,25.00,0.00,33.33,49.76,41.98,48.22
40-44,50.00,53.23,28.57,0.00,20.00,56.55,36.84,54.34
45-49,50.00,60.00,14.29,0.00,60.00,60.61,33.62,57.64
50-54,50.00,63.10,50.00,33.33,0.00,62.20,33.70,59.83
55-59,50.00,58.65,0.00,100.0,60.00,68.68,40.96,65.76
60-64,0.00,64.29,0.00,50.00,40.00,74.49,41.10,71.22
65-OVER,50.00,65.54,50.00,66.67,50.00,70.06,45.64,68.49
TOTAL,38.10,53.66,30.43,40.00,25.61,58.70,30.49,55.17
