AGE GROUP,ASIA-PI,BLACK,HISP-LT,NATIVE-AMERICAN,OTHER,WHITE,UNKNOWN,TOTAL
25-29,30.77,42.28,25.0,100.0,46.15,43.51,30.88,41.82
30-34,62.5,47.68,35.71,0.0,57.14,58.17,49.18,54.91
35-39,20.0,55.74,28.57,100.0,25.0,62.0,50.44,59.23
40-44,66.67,63.6,42.86,0.0,75.0,70.39,58.93,68.01
45-49,50.0,67.51,61.54,0.0,36.36,72.1,57.5,69.8
50-54,50.0,69.49,30.0,66.67,75.0,75.5,54.63,72.56
55-59,0.0,71.85,42.86,0.0,66.67,76.98,57.89,74.52
60-64,33.33,78.17,62.5,100.0,57.14,79.85,51.16,77.77
65-OVER,38.89,74.58,44.44,100.0,42.86,81.28,55.12,78.48
TOTAL,41.38,65.25,41.49,73.33,52.08,72.22,51.61,69.1
