,PRECINCT NAME,MALE,FEMALE,UNKNOWN,TOTAL
0,LEWIS METHODIST,59.28,59.88,33.33,59.57
1,WOODLAWN BAPT,67.91,69.06,0.0,68.49
2,PATRIOTS PARK,59.61,59.96,33.33,59.78
3,NEW LIFE CHURCH,54.34,52.88,50.0,53.54
4,HARLEM BRANCH,57.72,61.17,75.0,59.6
5,BESSIE THOMAS CENTER,63.19,62.6,0.0,62.88
6,PHILADELPHIA CHURCH,52.02,54.27,100.0,53.27
7,LIBERTY PARK -,46.24,47.91,42.86,47.15
8,GROVETOWN METHODIST,39.75,47.03,0.0,43.65
9,G A APOSTOLIC CHURCH,58.67,58.12,66.67,58.39
10,GROVETOWN MIDDLE,43.61,49.78,28.57,46.91
11,WARREN BAPTIST,48.48,53.45,0.0,51.18
12,EUBANK/BLANCHARD CTR,67.49,69.26,0.0,68.39
13,SECOND MT. CARMEL,65.26,71.31,0.0,68.44
14,DAMASCUS BAPT,70.77,67.79,0.0,69.21
15,COL CTY BOARD OF EDU,59.28,58.86,33.33,59.02
16,GREENBRIER HIGH,61.81,63.66,50.0,62.77
17,REDEEMER CHURCH,60.95,62.41,0.0,61.63
18,RIVERSIDE ELEMENTARY,61.71,64.68,0.0,63.23
19,GRACE BAPTIST CHURCH,58.3,61.28,62.5,59.81
20,CHRIST SANCTIFIED,58.31,58.22,0.0,58.21
21,BLANCHARD PARK,55.75,59.57,50.0,57.82
22,MTZ COL FIRE DEPT #4,47.06,53.33,20.0,50.42
23,BELAIR BAPTIST CHURCH,60.66,62.06,50.0,61.38
24,MARVIN METHODIST,55.02,56.63,0.0,55.85
25,WESTSIDE BAPT CHURCH,64.93,67.19,50.0,66.06
26,TRINITY BAPT CHURCH,53.2,59.79,0.0,56.74
27,ABILENE BAPTIST,52.88,58.71,0.0,56.04
28,AUGUSTA CHRISTIAN,55.4,58.27,100.0,57.06
29,STEVENS CREEK ELEM,71.32,66.12,0.0,68.55
30,GOSPEL WATER BRANCH,64.66,66.41,50.0,65.55
31,GENESIS CHURCH,63.75,63.1,33.33,63.37
32,STEVENS CREEK,69.49,69.21,50.0,69.32
33,MTZ COL FIRE HDQTR.,49.67,49.8,0.0,49.74
34,LAKESIDE MIDDLE,51.71,51.96,50.0,51.84
35,MARTINEZ BAPTIST,51.41,53.67,100.0,52.71
36,GOLD CROSS EMS,60.44,61.8,50.0,61.18
37,CHURCH OF OUR SAVIOR,50.27,52.65,0.0,51.48
38,WEST ACRES BAPTIST,59.28,60.18,0.0,59.73
39,JOURNEY COMM.,68.95,69.31,0.0,69.13
40,WESLEY METHODIST,63.56,65.95,0.0,64.79
41,COL CTY MAIN LIBRARY,56.55,60.08,66.67,58.43
42,"CHRIST CHURCH,",64.21,65.83,33.33,65.0
43,BLUERIDGE ELEMENTARY,53.2,57.23,0.0,55.36
44,CHRIST THE KING CH,64.65,64.52,50.0,64.57
45,99999,0.0,0.0,0.0,0.0
46,TOTAL,57.54,59.21,39.13,58.41
