AGE GROUP,ASIA-PI,BLACK,HISP-LT,NATIVE-AMERICAN,OTHER,WHITE,UNKNOWN,TOTAL
25-29,30.77,19.64,44.44,33.33,15.38,40.63,11.06,30.47
30-34,11.11,27.6,16.67,0.0,41.67,45.88,20.41,37.63
35-39,60.0,35.96,31.82,0.0,36.36,50.52,20.65,44.12
40-44,28.57,40.69,36.84,50.0,28.57,57.93,25.0,50.24
45-49,54.55,52.31,33.33,33.33,33.33,64.03,29.06,58.2
50-54,33.33,52.42,16.67,50.0,28.57,65.42,20.43,58.92
55-59,55.56,56.93,33.33,50.0,40.0,67.78,25.56,62.49
60-64,63.64,62.25,30.77,100.0,33.33,69.9,37.08,65.96
65-OVER,64.29,67.27,57.14,66.67,50.0,73.99,29.76,70.69
TOTAL,45.45,47.99,35.16,42.11,34.52,63.38,23.41,56.55
