AGE GROUP,ASIA-PI,BLACK,HISP-LT,NATIVE-AM,OTHER,WHITE,UNKNOWN,TOTAL
18-24,41.67,19.9,27.27,20.0,41.67,40.25,21.2,34.25
25-29,0.0,20.72,18.18,0.0,33.33,39.49,35.96,35.16
30-34,0.0,32.7,57.14,0.0,20.0,46.9,27.03,42.25
35-39,14.29,40.74,50.0,100.0,0.0,60.83,35.38,54.79
40-44,18.75,47.12,22.22,0.0,33.33,62.67,50.98,57.95
45-49,36.36,55.45,33.33,0.0,100.0,66.78,38.81,62.62
50-54,44.44,65.45,50.0,0.0,100.0,73.6,50.88,70.83
55-59,66.67,65.22,60.0,0.0,75.0,73.45,57.58,71.42
60-64,57.14,65.26,66.67,0.0,100.0,75.28,58.44,73.02
65-OVER,25.0,69.59,75.0,0.0,42.86,74.02,63.35,72.88
TOTAL,33.62,50.97,42.27,20.0,46.51,65.73,42.65,61.72
