AGE GROUP,ASIA-PI,BLACK,HISP-LT,NATIVE-AM,OTHER,WHITE,UNKNOWN,TOTAL
25-29,50.0,33.52,45.45,33.33,71.43,36.44,18.18,33.26
30-34,42.86,40.37,29.41,0.0,20.0,48.1,26.74,42.36
35-39,0.0,47.07,0.0,33.33,28.57,57.17,27.16,49.56
40-44,0.0,56.23,20.0,33.33,50.0,63.11,21.79,56.32
45-49,80.0,61.55,37.5,0.0,42.86,67.12,26.37,61.73
50-54,100.0,66.5,64.29,50.0,80.0,65.37,38.96,64.38
55-59,0.0,69.99,16.67,100.0,33.33,68.98,24.51,66.1
60-64,50.0,71.85,62.5,50.0,60.0,72.15,30.38,69.52
65-OVER,57.14,73.84,73.33,33.33,66.67,77.75,33.08,74.2
TOTAL,47.73,59.39,42.71,40.0,54.24,65.67,26.77,60.01
