,PRECINCT NAME,ASIAN-PACIFIC,BLACK,LATINO,NATIVE-AMERICAN,OTHER,WHITE,UNKNOWN,TOTAL
0,ROCKBRIDGE A,30.36,61.18,44.64,28.57,45.16,57.34,46.73,57.29
1,DACULA,36.18,61.42,46.78,55.56,58.47,60.57,46.07,56.95
2,SUWANEE A,34.11,58.03,44.44,0.0,32.35,54.41,33.88,49.83
3,BAYCREEK A,30.39,69.16,44.44,57.14,48.84,70.08,52.43,65.29
4,GOODWINS A,39.72,61.82,50.69,16.67,57.94,59.48,43.12,55.04
5,DULUTH A,43.9,69.85,57.41,75.0,60.21,66.01,48.56,60.74
6,DUNCANS A,39.25,66.16,54.64,83.33,62.07,66.26,53.16,63.25
7,PUCKETTS A,37.89,66.97,49.66,100.0,52.5,66.22,46.99,61.86
8,CATES A,45.59,58.41,41.13,100.0,59.62,65.81,46.22,60.42
9,BERKSHIRE A,38.81,52.69,39.24,22.22,41.77,58.97,36.09,47.99
10,BERKSHIRE B,41.96,50.25,42.47,47.83,51.2,62.82,32.62,48.98
11,DUNCANS C,43.59,69.61,53.15,42.86,62.5,67.67,59.38,65.45
12,GARNERS A,45.34,66.52,57.02,40.0,65.33,68.94,51.55,65.01
13,LAWRENCEVILLE A,29.41,46.05,39.63,33.33,39.29,53.21,30.02,46.3
14,LAWRENCEVILLE B,31.58,66.35,48.06,64.71,50.0,57.11,42.55,56.31
15,MARTINS A,31.37,54.22,39.07,25.0,40.78,50.49,34.01,45.67
16,MARTINS B,39.93,55.27,49.18,60.0,33.67,53.6,34.19,49.43
17,MARTINS C,49.53,59.66,45.59,60.0,45.31,61.6,39.85,55.37
18,PINKCNEYVILLE A,35.21,47.53,42.24,0.0,38.55,48.02,36.75,43.97
19,PINCKNEYVILLE B,37.92,43.25,34.33,50.0,38.79,52.09,26.56,40.6
20,PINCKNEYVILLE C,61.06,65.82,56.82,50.0,62.16,69.46,57.3,66.56
21,PINCKNEYVILLE D,37.5,44.43,42.51,40.0,34.62,48.05,29.01,41.75
22,SUGAR HILL A,35.29,53.21,38.9,57.14,40.85,54.02,38.05,49.33
23,SUGAR HILL B,46.97,62.52,47.77,25.0,50.0,54.04,38.51,52.24
24,HOG MOUNTAIN A,37.61,57.09,42.13,25.0,55.65,54.16,37.01,50.65
25,HOG MOUNTAIN B,43.48,66.22,55.76,71.43,40.26,66.65,51.41,62.52
26,ROCKYCREEK A,39.58,61.03,45.71,40.0,54.96,64.55,51.31,60.07
27,CATES B,57.14,62.16,39.08,25.0,62.5,68.87,42.52,63.99
28,CATES C,35.9,58.85,45.38,80.0,50.0,63.72,42.19,57.63
29,HOG MOUNTAIN D,35.29,63.8,40.53,36.36,45.21,59.52,46.89,55.37
30,BERKSHIRE D,48.63,63.08,52.59,33.33,51.65,69.08,53.41,62.68
31,BERKSHIRE E,44.84,68.98,57.75,28.57,51.56,74.29,58.21,66.37
32,BERKSHIRE F,39.59,61.74,43.53,33.33,45.76,58.0,39.47,50.16
33,CATES D,37.15,66.49,49.62,33.33,51.92,65.7,44.82,59.93
34,CATES E,43.4,75.4,54.21,36.36,53.25,70.89,55.25,66.95
35,PINCKNEYVILLE E,34.72,44.6,41.95,50.0,44.44,49.25,26.25,42.57
36,PINCKNEYVILLE F,37.78,43.83,42.74,26.67,45.88,52.03,32.42,43.58
37,DUNCANS D,37.23,59.67,52.2,70.0,51.67,63.13,47.2,59.4
