AGE GROUP,ASIA-PI,BLACK,HISP-LT,NATIVE-AMERICAN,OTHER,WHITE,UNKNOWN,TOTAL
25-29,0.0,31.61,57.14,0.0,0.0,46.05,20.0,35.97
30-34,50.0,44.19,50.0,0.0,0.0,53.45,21.43,45.37
35-39,0.0,58.67,0.0,0.0,0.0,64.94,50.0,60.17
40-44,80.0,53.19,0.0,0.0,0.0,63.86,33.33,56.78
45-49,50.0,62.41,0.0,0.0,0.0,72.63,20.0,64.78
50-54,0.0,65.36,50.0,0.0,0.0,69.9,9.09,64.44
55-59,0.0,67.9,0.0,0.0,0.0,86.0,60.0,73.99
60-64,0.0,72.82,0.0,0.0,0.0,79.82,37.5,74.36
65-OVER,0.0,69.0,0.0,0.0,100.0,78.57,25.0,72.54
TOTAL,43.75,60.58,40.0,0.0,100.0,72.37,29.03,63.89
