AGE GROUP,ASIA-PI,BLACK,HISP-LT,NATIVE-AM,OTHER,WHITE,UNKNOWN,TOTAL
18-24,45.45,16.26,11.70,20.00,26.92,28.09,15.33,21.37
25-29,36.36,19.75,17.54,50.00,18.18,32.26,16.46,25.89
30-34,28.57,31.53,28.57,0.00,28.57,36.00,25.00,32.53
35-39,46.15,42.86,23.26,50.00,18.75,42.71,30.15,39.63
40-44,45.45,51.61,31.25,33.33,46.67,47.09,25.23,44.42
45-49,60.00,47.62,27.59,60.00,70.00,54.45,35.29,49.75
50-54,66.67,66.13,41.18,66.67,57.14,64.99,37.88,61.49
55-59,33.33,61.83,38.10,0.00,66.67,67.79,33.87,61.87
60-64,80.00,66.67,44.44,0.00,60.00,68.25,47.46,65.07
65-OVER,80.00,66.82,46.15,100.0,25.00,67.88,48.84,65.85
TOTAL,47.19,45.47,25.67,45.45,36.04,50.54,27.09,44.70
