,PRECINCT NAME,MALE,FEMALE,UNKNOWN,TOTAL
0,ADMINISTRATION BLDG,34.14,46.99,50.0,41.78
1,HAMMETT RD,49.35,56.51,62.5,53.54
2,GRIGGS CENTER,33.91,48.95,50.0,42.67
3,WEST POINT,44.52,52.7,0.0,49.12
4,HOGANSVILLE,52.71,54.64,25.0,53.73
5,EAST VERNON,63.8,64.18,50.0,63.99
6,ROSEMONT,65.04,65.76,0.0,65.4
7,MOUNTVILLE,62.73,67.89,33.33,65.42
8,MCLENDON,62.73,64.38,66.67,63.59
9,LONG CANE,58.96,63.04,71.43,61.18
10,GARDNER NEWMAN,52.14,58.37,0.0,55.49
11,GRAY HILL,56.63,64.02,71.43,60.58
12,HIGHLAND,54.83,58.73,100.0,57.03
13,NORTHSIDE,53.96,60.9,100.0,57.82
14,88888,0.0,0.0,0.0,0.0
15,99999,0.0,0.0,0.0,0.0
16,TOTAL,53.32,58.36,54.24,56.09
