AGE GROUP,ASIA-PI,BLACK,HISP-LT,NATIVE-AMERICAN,OTHER,WHITE,UNKNOWN,TOTAL
25-29,31.16,39.99,29.95,28.57,35.56,38.11,25.93,36.43
30-34,27.4,47.86,37.14,33.33,40.88,45.66,30.19,43.16
35-39,35.77,56.72,39.34,30.0,43.89,51.67,38.5,50.1
40-44,43.82,62.16,48.32,39.13,47.68,60.89,43.1,58.03
45-49,49.43,68.89,53.75,66.67,58.82,64.78,48.93,63.34
50-54,48.43,75.47,55.51,72.73,51.76,69.51,48.58,67.75
55-59,59.35,76.12,63.68,63.64,68.75,74.35,53.44,72.45
60-64,63.21,79.67,59.03,33.33,57.14,76.36,55.82,74.63
65-OVER,63.1,80.67,57.53,71.43,71.79,77.81,56.06,76.1
TOTAL,48.17,65.24,46.2,45.34,51.69,64.18,42.81,61.34
