PRECINCT NAME,UNKNOWN,UNKNOWN FEMALE,UNKNOWN MALE,OTHER UNKNOWN,OTHER FEMALE,OTHER MALE,NATIVE AMERICAN UNKNOWN,NATIVE AMERICAN FEMALE,NATIVE AMERICAN MALE,LATINO UNKNOWN,LATINO FEMALE,LATINO MALE,ASIAN-PACIFIC UNKNOWN,ASIAN-PACIFIC FEMALE,ASIAN-PACIFIC MALE,WHITE UNKNOWN,WHITE FEMALE,WHITE MALE,BLACK UNKNOWN,BLACK FEMALE,BLACK MALE,TOTAL
SHARPTOP,0.0,40.0,39.0,0.0,1.0,4.0,0.0,0.0,1.0,0.0,6.0,2.0,0.0,3.0,1.0,0.0,901.0,795.0,0.0,1.0,2.0,1796.0
APPALACHIAN,0.0,15.0,21.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,4.0,7.0,0.0,0.0,0.0,0.0,545.0,503.0,0.0,7.0,1.0,1105.0
REFUGE,0.0,20.0,28.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,7.0,1.0,0.0,1.0,0.0,0.0,718.0,627.0,0.0,9.0,6.0,1420.0
HILL,0.0,19.0,33.0,0.0,3.0,0.0,0.0,3.0,0.0,0.0,6.0,2.0,0.0,2.0,1.0,0.0,508.0,480.0,0.0,1.0,0.0,1058.0
HINTON,0.0,6.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,1.0,0.0,240.0,206.0,0.0,1.0,1.0,469.0
JERUSALEM,0.0,16.0,13.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,291.0,298.0,0.0,1.0,1.0,624.0
LUDVILLE,0.0,7.0,8.0,0.0,2.0,0.0,0.0,2.0,2.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,169.0,160.0,0.0,1.0,0.0,353.0
NELSON,0.0,15.0,16.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,3.0,0.0,410.0,384.0,0.0,6.0,5.0,845.0
TALKING ROCK,0.0,20.0,14.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,4.0,4.0,0.0,1.0,2.0,0.0,464.0,445.0,0.0,1.0,2.0,958.0
JASPER,0.0,23.0,22.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,12.0,7.0,0.0,5.0,4.0,0.0,589.0,501.0,0.0,21.0,9.0,1196.0
TATE,0.0,30.0,29.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,3.0,6.0,0.0,3.0,2.0,0.0,707.0,679.0,0.0,5.0,4.0,1471.0
TOTAL,0.0,211.0,234.0,0.0,14.0,10.0,0.0,8.0,3.0,0.0,47.0,31.0,0.0,17.0,15.0,0.0,5542.0,5078.0,0.0,54.0,31.0,11295.0
