AGE GROUP,ASIA-PI,BLACK,HISP-LT,NATIVE-AM,OTHER,WHITE,UNKNOWN,TOTAL
18-24,20.00,23.81,57.14,0.00,57.14,36.02,20.00,32.65
25-29,0.00,28.85,33.33,0.00,0.00,37.04,27.27,35.41
30-34,0.00,42.86,0.00,50.00,0.00,39.19,23.08,38.33
35-39,66.67,32.65,100.0,0.00,0.00,53.08,35.71,50.38
40-44,50.00,51.06,50.00,0.00,0.00,60.87,33.33,58.98
45-49,100.0,63.46,40.00,0.00,66.67,64.42,47.22,63.13
50-54,50.00,67.44,66.67,0.00,60.00,65.81,24.00,64.37
55-59,50.00,58.67,0.00,100.0,0.00,69.62,26.92,66.81
60-64,100.0,68.83,0.00,66.67,100.0,73.56,29.63,70.89
65-OVER,50.00,65.38,40.00,100.0,0.00,74.46,38.60,71.89
TOTAL,50.00,53.97,40.54,41.67,45.16,59.94,28.68,57.32
