AGE GROUP,ASIA-PI,BLACK,HISP-LT,NATIVE-AMERICAN,OTHER,WHITE,UNKNOWN,TOTAL
25-29,16.13,38.22,31.66,14.29,38.1,38.13,27.75,36.78
30-34,46.58,49.13,41.01,61.54,45.79,46.62,35.81,45.84
35-39,31.4,60.0,36.84,33.33,48.0,50.18,45.27,51.09
40-44,54.84,65.71,46.13,15.38,52.17,55.43,48.09,56.52
45-49,44.44,69.04,53.23,33.33,59.0,61.92,49.59,61.94
50-54,53.57,72.54,56.18,14.29,64.56,66.65,51.34,66.31
55-59,48.84,73.66,59.86,44.44,66.67,69.5,51.34,68.64
60-64,60.0,75.24,58.82,57.14,65.75,71.96,48.97,70.45
65-OVER,43.94,73.31,50.24,75.0,52.11,71.42,52.46,69.62
TOTAL,43.54,63.72,45.73,36.63,52.55,60.12,45.51,58.97
