AGE GROUP,ASIA-PI,BLACK,HISP-LT,NATIVE-AM,OTHER,WHITE,UNKNOWN,TOTAL
18-24,0.00,31.16,0.00,100.0,50.00,59.81,22.58,37.86
25-29,0.00,36.49,0.00,0.00,0.00,57.14,30.00,43.27
30-34,0.00,45.71,0.00,0.00,0.00,53.51,27.27,47.84
35-39,0.00,56.02,0.00,0.00,0.00,57.73,41.67,55.66
40-44,0.00,56.29,0.00,0.00,0.00,72.22,30.77,59.71
45-49,0.00,66.23,50.00,0.00,100.0,67.69,25.00,65.75
50-54,0.00,63.77,0.00,66.67,0.00,77.12,30.77,66.96
55-59,100.0,73.71,50.00,0.00,0.00,74.84,57.14,73.58
60-64,0.00,73.68,0.00,0.00,100.0,83.43,54.55,77.19
65-OVER,33.33,75.91,100.0,0.00,100.0,81.86,68.75,79.01
TOTAL,37.50,59.98,33.33,60.00,54.55,73.31,38.13,64.54
