AGE GROUP,ASIA-PI,BLACK,HISP-LT,NATIVE-AMERICAN,OTHER,WHITE,UNKNOWN,TOTAL
25-29,9.09,21.46,25.17,100.0,25.0,39.64,23.58,31.92
30-34,40.0,34.93,37.7,0.0,0.0,46.65,20.78,41.19
35-39,22.22,39.09,30.0,100.0,0.0,58.47,25.0,50.49
40-44,11.11,45.86,31.15,66.67,42.86,59.25,24.59,53.17
45-49,69.23,52.58,30.0,33.33,28.57,62.41,32.81,57.91
50-54,33.33,60.81,12.5,50.0,33.33,63.24,29.41,60.39
55-59,50.0,63.59,43.75,0.0,22.22,69.56,25.42,66.04
60-64,70.0,60.88,33.33,33.33,25.0,72.87,25.45,67.83
65-OVER,50.0,67.04,46.43,20.0,71.43,71.69,35.09,69.54
TOTAL,41.18,49.84,30.12,36.0,27.96,62.55,27.14,56.96
