AGE GROUP,ASIA-PI,BLACK,HISP-LT,NATIVE-AMERICAN,OTHER,WHITE,UNKNOWN,TOTAL
25-29,21.05,22.37,26.67,0.0,25.35,35.32,18.78,28.66
30-34,35.48,37.41,26.09,50.0,36.36,50.14,29.01,43.72
35-39,51.85,47.06,25.81,100.0,40.0,57.38,33.25,51.58
40-44,55.0,53.55,34.09,66.67,50.0,64.55,38.53,58.48
45-49,40.0,52.54,30.43,0.0,46.15,67.83,41.14,61.27
50-54,50.0,56.81,80.0,0.0,57.14,70.58,40.25,64.1
55-59,60.87,59.65,73.91,75.0,69.23,72.91,38.83,66.79
60-64,45.83,67.64,63.16,0.0,60.0,76.75,39.74,71.52
65-OVER,40.74,67.35,43.48,14.29,56.52,76.61,44.05,72.54
TOTAL,42.74,48.92,37.26,50.0,41.44,64.63,33.91,57.33
