AGE GROUP,ASIA-PI,BLACK,HISP-LT,NATIVE-AMERICAN,OTHER,WHITE,UNKNOWN,TOTAL
25-29,0.0,26.24,22.81,0.0,30.77,42.44,12.16,33.55
30-34,50.0,35.57,33.33,0.0,40.0,49.01,31.68,43.5
35-39,50.0,43.22,25.0,0.0,20.0,53.7,19.28,47.3
40-44,50.0,54.39,31.03,0.0,25.0,65.23,20.69,57.53
45-49,66.67,50.84,30.43,50.0,20.0,70.33,26.09,62.36
50-54,0.0,55.4,33.33,0.0,66.67,67.37,28.4,60.73
55-59,50.0,64.19,21.05,100.0,0.0,70.0,29.63,64.95
60-64,66.67,65.3,50.0,100.0,40.0,72.46,29.58,67.5
65-OVER,66.67,65.68,32.0,0.0,60.0,75.8,31.54,71.38
TOTAL,54.29,53.1,29.22,62.5,36.36,65.98,24.79,59.07
