AGE GROUP,ASIA-PI,BLACK,HISP-LT,NATIVE-AMERICAN,OTHER,WHITE,UNKNOWN,TOTAL
25-29,66.67,29.74,42.86,0.0,54.55,43.56,16.39,37.77
30-34,0.0,37.54,40.0,100.0,0.0,53.4,23.64,46.88
35-39,100.0,37.41,16.67,0.0,20.0,57.3,32.65,50.0
40-44,33.33,47.76,100.0,0.0,33.33,58.54,26.83,54.23
45-49,50.0,57.87,50.0,0.0,75.0,69.23,31.82,64.95
50-54,50.0,59.31,20.0,100.0,50.0,67.61,48.98,64.35
55-59,0.0,56.54,44.44,0.0,60.0,71.84,13.46,65.66
60-64,100.0,68.75,50.0,100.0,66.67,76.64,37.14,73.48
65-OVER,60.0,65.84,57.14,100.0,50.0,74.31,28.69,70.77
TOTAL,48.0,52.16,44.26,100.0,48.21,66.51,28.15,61.12
