AGE GROUP,ASIA-PI,BLACK,HISP-LT,NATIVE-AMERICAN,OTHER,WHITE,UNKNOWN,TOTAL
25-29,0.0,26.0,4.35,100.0,20.0,35.57,27.78,29.83
30-34,20.0,32.93,29.41,100.0,16.67,49.1,33.33,41.04
35-39,100.0,40.0,18.18,0.0,100.0,52.18,35.56,46.38
40-44,0.0,47.5,42.86,50.0,50.0,58.54,38.46,52.71
45-49,0.0,55.96,42.86,0.0,66.67,58.37,34.78,56.0
50-54,60.0,53.33,60.0,100.0,60.0,67.08,50.0,61.01
55-59,80.0,58.48,66.67,0.0,33.33,66.94,57.14,63.6
60-64,100.0,65.19,57.14,0.0,66.67,72.6,60.32,69.19
65-OVER,33.33,63.5,63.64,50.0,66.67,69.67,57.63,67.21
TOTAL,48.15,50.59,35.58,55.56,53.33,62.3,45.3,56.87
