AGE GROUP,ASIA-PI,BLACK,HISP-LT,NATIVE-AMERICAN,OTHER,WHITE,UNKNOWN,TOTAL
25-29,33.33,35.28,16.67,0.0,23.53,40.32,19.35,37.12
30-34,26.92,51.72,35.48,0.0,38.46,47.99,36.2,47.19
35-39,27.59,61.56,37.14,66.67,16.67,57.94,34.34,55.72
40-44,27.59,64.27,54.05,100.0,50.0,61.79,42.25,60.39
45-49,54.17,64.84,52.17,40.0,28.57,65.94,43.4,63.65
50-54,60.71,74.46,22.73,0.0,71.43,68.41,43.08,67.33
55-59,55.0,77.0,50.0,66.67,64.71,72.8,44.63,71.32
60-64,44.44,74.47,55.56,50.0,55.56,74.95,42.22,72.77
65-OVER,38.1,74.71,57.14,50.0,72.73,76.1,40.0,73.98
TOTAL,41.77,64.08,39.91,55.0,46.22,64.62,37.8,62.16
