AGE GROUP,ASIA-PI,BLACK,HISP-LT,NATIVE-AMERICAN,OTHER,WHITE,UNKNOWN,TOTAL
25-29,0.0,42.86,28.57,0.0,50.0,48.16,16.28,43.73
30-34,33.33,36.11,50.0,0.0,0.0,62.13,50.0,54.36
35-39,50.0,51.59,33.33,0.0,100.0,64.89,18.75,60.41
40-44,50.0,62.0,66.67,0.0,33.33,71.0,57.14,68.42
45-49,40.0,61.74,0.0,0.0,33.33,76.99,29.63,71.19
50-54,83.33,57.39,60.0,50.0,66.67,78.19,29.41,72.87
55-59,50.0,65.97,100.0,0.0,50.0,82.62,70.0,78.36
60-64,0.0,57.8,66.67,0.0,0.0,85.68,69.57,79.73
65-OVER,37.5,65.83,100.0,0.0,50.0,82.6,47.5,79.12
TOTAL,41.03,55.83,54.55,20.0,50.0,75.32,41.41,69.89
