AGE GROUP,ASIA-PI,BLACK,HISP-LT,NATIVE-AM,OTHER,WHITE,UNKNOWN,TOTAL
18-24,41.89,36.93,37.10,13.16,34.64,33.94,25.44,34.60
25-29,28.30,36.36,33.03,33.33,40.94,32.08,28.16,33.90
30-34,29.03,47.04,40.00,52.94,38.21,39.63,33.55,42.41
35-39,29.11,56.64,40.46,23.08,48.23,47.79,46.69,51.78
40-44,48.68,64.72,40.47,33.33,59.70,55.72,46.03,59.01
45-49,51.69,68.37,52.57,37.50,61.21,61.71,53.89,63.97
50-54,53.97,71.19,54.15,75.00,62.14,64.59,52.44,66.28
55-59,50.00,72.36,51.63,33.33,67.37,68.50,51.27,67.99
60-64,45.95,73.87,55.38,55.56,66.67,70.96,50.56,69.86
65-OVER,54.47,73.34,50.93,33.33,64.96,72.22,50.42,70.44
TOTAL,42.96,58.21,42.45,34.64,50.70,58.76,41.94,56.07
