,PRECINCT NAME,MALE,FEMALE,UNKNOWN,TOTAL
0,1B,53.94,56.57,50.0,55.29
1,1C,54.42,57.37,100.0,55.97
2,1D,56.07,59.08,100.0,57.62
3,2A,61.63,65.71,100.0,63.78
4,2B,52.36,53.92,28.57,53.11
5,2C,57.23,59.41,33.33,58.35
6,3A,58.05,58.72,100.0,58.47
7,3B,60.23,63.02,50.0,61.66
8,3C,54.31,57.6,66.67,56.07
9,3D,56.03,58.53,50.0,57.32
10,4A,54.03,57.33,57.14,55.79
11,4B,50.74,58.18,50.0,54.56
12,4C,53.58,49.37,33.33,51.37
13,5A,56.62,54.24,71.43,55.41
14,5B,49.73,52.95,66.67,51.48
15,5C,59.35,59.51,33.33,59.39
16,99999,0.0,0.0,0.0,0.0
17,TOTAL,55.14,57.12,58.93,56.18
