AGE GROUP,ASIA-PI,BLACK,HISP-LT,NATIVE-AM,OTHER,WHITE,UNKNOWN,TOTAL
18-24,118.22,31.96,218.06,84.48,35.36,53.86,65.68,35.04
25-29,33.22,56.42,159.62,21.93,37.13,40.34,83.06,35.84
30-34,38.94,65.24,69.78,34.65,39.55,47.82,37.88,43.71
35-39,43.26,77.79,116.09,43.15,44.67,54.21,41.32,50.71
40-44,53.67,84.42,84.37,38.05,52.55,82.78,45.98,56.78
45-49,50.59,84.08,50.76,52.81,57.66,64.86,49.66,61.90
50-54,50.43,94.57,52.54,48.25,64.61,93.56,50.89,64.95
55-59,47.47,99.62,54.82,47.29,61.34,70.92,46.95,67.39
60-64,50.37,103.13,57.99,58.75,63.84,96.33,175.48,70.64
65-OVER,44.04,96.02,52.40,47.39,51.85,74.14,42.22,71.50
TOTAL,44.54,57.45,43.52,39.68,46.90,62.10,39.95,56.32
