PRECINCT NAME,UNKNOWN,UNKNOWN FEMALE,UNKNOWN MALE,OTHER UNKNOWN,OTHER FEMALE,OTHER MALE,NATIVE AMERICAN UNKNOWN,NATIVE AMERICAN FEMALE,NATIVE AMERICAN MALE,LATINO UNKNOWN,LATINO FEMALE,LATINO MALE,ASIAN-PACIFIC UNKNOWN,ASIAN-PACIFIC FEMALE,ASIAN-PACIFIC MALE,WHITE UNKNOWN,WHITE FEMALE,WHITE MALE,BLACK UNKNOWN,BLACK FEMALE,BLACK MALE,TOTAL
LOCUST GROVE,0,50.3,44.84,0,52.04,36.49,0,0,80,0,34.31,33.33,0,45.95,34.29,66.67,55.35,55.45,0,68.51,55.85,57.02
TUSSAHAW,0,46.09,51.03,0,55.88,36,0,100,0,0,25.71,37.93,0,70,50,0,64.86,63.52,0,68.03,55.66,61.73
SANDY RIDGE,50,57,43.59,0,58.62,47.62,0,100,50,0,40.32,42.22,0,47.83,50,100,61.06,59.1,0,70,60.37,59.32
WESTSIDE,0,39.06,24.72,0,39.68,24.75,0,0,50,0,27.01,19.08,0,17.65,23.81,0,36.38,37.14,100,52.38,36.69,41.49
LOWES,50,46.9,41.08,0,53.33,37.5,0,0,33.33,0,46.6,35.71,0,34.09,22.22,100,55.32,56.35,100,65.5,55.21,55.75
SOUTH HAMPTON,0,47.76,48.28,0,50,44.07,0,50,0,0,58.57,36.99,0,37.5,15.79,50,60.36,58.56,0,65.97,53.07,57.91
NORTH HAMPTON,33.33,54.25,38.67,0,45.98,38.75,0,33.33,50,0,53.23,42.35,0,38.71,38.89,100,57.78,54.07,0,65.81,50.55,55.96
MOUNT CARMEL,33.33,59.78,54.15,0,57.39,57.53,0,50,0,0,52.86,52.63,0,44.86,37,0,58.25,56.53,100,74.17,63.34,63.53
RED OAK,62.5,51.77,47.86,0,46.9,36.08,0,16.67,0,0,53.12,49.38,100,38.82,41.67,0,55.56,54.94,0,71.65,61.08,60.33
WESLEY LAKES,33.33,53.2,34.53,100,50.49,39.76,0,50,0,0,38.83,42.39,0,29.79,16.67,0,62.4,60.66,0,64.94,53.23,56.79
MCDONOUGH,0,59.71,46.67,0,65.12,46.15,0,100,0,0,59.38,37.04,0,60,33.33,100,59.95,63.52,0,64.67,56.10,60.07
MCMULLEN,0,51.3,52.78,0,65.52,47.06,0,0,0,0,56.1,55.56,0,77.78,62.5,0,67.67,65.95,50,77.33,63.01,65.81
EAST LAKE,100,60.26,58.87,0,57.14,48.28,0,0,50,0,53.85,42.11,0,28.57,57.14,50,71.25,67.02,0,76.5,66.67,67.58
HICKORY FLAT,33.33,56.07,50.42,0,56.82,54.29,0,0,0,0,47.89,36.99,0,40.48,41.86,50,66.39,66.94,0,72.57,60.74,63.85
STOCKBRIDGE EAST-,20,48.99,33.76,0,50.78,43.75,0,66.67,0,0,53.57,43.36,0,41.18,41.25,0,45.48,47.96,75,63.49,50.86,53.87
STAGECOACH,50,50.29,30.07,0,54.17,44.12,0,100,0,0,57.63,42.11,0,38.89,23.53,0,54.06,53.38,0,63.17,50.42,53.68
COTTON INDIAN,100,45.49,33.99,0,43.84,32.31,0,0,0,0,42.25,47.37,0,35.09,23.81,100,56.51,57.59,33.33,70.12,60.00,57.27
PLEASANT GROVE,100,59.63,52.33,0,54.17,58.93,0,100,0,0,41.67,53.33,0,60.87,52.17,50,65.63,69.47,0,73.5,65.10,66.32
AUSTIN ROAD,0,66.45,49.32,0,60.47,61.54,0,0,0,0,42.31,50,0,58.82,26.32,100,63.7,56.72,0,78.6,68.26,66.28
SWAN LAKE,0,52.6,40.65,0,33.33,31.71,0,100,50,0,42.86,34.09,0,37.5,25,0,62,59.68,0,71.5,58.61,59.71
SHAKERAG,0,58.08,45.45,0,66,38.71,0,66.67,100,0,43.75,45.83,0,11.11,12.5,0,53.23,54.25,0,70.76,60.29,62.47
ELLENWOOD,100,59.9,51.22,0,57.69,46.34,0,0,66.67,0,50,44.44,0,43.75,11.11,0,65.37,64.5,100,77.9,66.21,68.64
UNITY GROVE,100,56.57,50.23,0,39.13,48.89,0,0,66.67,0,43.14,41.82,0,46.15,58.33,50,65.09,64.28,0,73.01,62.25,63.27
SHILOH,50,56.39,40.13,0,48.86,30.19,0,100,100,0,41.33,29.23,0,36.84,11.11,0,55.5,49.72,0,61.09,46.10,52.71
PATES CREEK,100,49.42,42.22,0,55.84,38.36,0,40,60,0,45.79,36.36,0,38.54,31.71,100,64.67,61.17,100,67.68,54.48,59.11
OAKLAND,100,60.52,45.99,0,60.66,36,0,100,50,0,46.55,45.1,0,36,41.3,0,65.24,63,100,72.41,62.11,63.18
LAKE DOW,100,58.11,54.77,0,55,63.41,0,0,100,0,54.55,52.63,0,53.12,80,100,68.37,64.88,100,67.36,59.26,64.71
FLIPPEN,50,60.61,56.06,0,61.62,56.98,0,0,0,0,61.02,44.9,0,51.75,49.65,100,67.35,65.04,100,76.04,65.91,66.2
