PRECINCT NAME,UNKNOWN,UNKNOWN FEMALE,UNKNOWN MALE,OTHER UNKNOWN,OTHER FEMALE,OTHER MALE,NATIVE AMERICAN UNKNOWN,NATIVE AMERICAN FEMALE,NATIVE AMERICAN MALE,LATINO UNKNOWN,LATINO FEMALE,LATINO MALE,ASIAN-PACIFIC UNKNOWN,ASIAN-PACIFIC FEMALE,ASIAN-PACIFIC MALE,WHITE UNKNOWN,WHITE FEMALE,WHITE MALE,BLACK UNKNOWN,BLACK FEMALE,BLACK MALE,TOTAL
DANIELSIDING,1.0,114.0,132.0,0.0,11.0,9.0,0.0,1.0,2.0,0.0,33.0,23.0,0.0,11.0,9.0,3.0,924.0,867.0,0.0,116.0,99.0,2355.0
ELLABELL,1.0,93.0,131.0,0.0,5.0,5.0,0.0,1.0,3.0,0.0,11.0,9.0,0.0,12.0,7.0,0.0,847.0,723.0,0.0,116.0,90.0,2054.0
BLACK CREEK,0.0,146.0,161.0,0.0,7.0,7.0,0.0,4.0,2.0,0.0,11.0,15.0,0.0,2.0,3.0,3.0,1081.0,963.0,0.0,170.0,152.0,2727.0
WAYS STATION,1.0,122.0,125.0,0.0,16.0,10.0,0.0,2.0,4.0,0.0,34.0,33.0,0.0,37.0,41.0,1.0,575.0,532.0,1.0,212.0,167.0,1913.0
RH RECREATION COMPX,4.0,213.0,202.0,0.0,29.0,21.0,0.0,6.0,2.0,0.0,103.0,85.0,1.0,37.0,34.0,3.0,1167.0,887.0,0.0,360.0,259.0,3413.0
J.F.GREGORY PARK,1.0,144.0,119.0,0.0,15.0,10.0,0.0,3.0,4.0,0.0,43.0,21.0,0.0,16.0,11.0,1.0,1255.0,1183.0,1.0,84.0,79.0,2990.0
KELLER,1.0,246.0,249.0,0.0,25.0,26.0,0.0,2.0,5.0,1.0,47.0,44.0,0.0,28.0,14.0,1.0,1626.0,1577.0,0.0,178.0,184.0,4254.0
HWY 144 EAST,4.0,226.0,215.0,1.0,26.0,21.0,0.0,5.0,4.0,0.0,95.0,75.0,0.0,44.0,29.0,2.0,1539.0,1350.0,1.0,210.0,185.0,4032.0
88888,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,5.0,0.0,12.0
PUBLIC SAFETY COMPX,1.0,131.0,163.0,0.0,26.0,14.0,0.0,3.0,9.0,0.0,62.0,41.0,0.0,14.0,22.0,0.0,821.0,681.0,0.0,272.0,162.0,2422.0
TOTAL,14.0,1436.0,1497.0,1.0,160.0,123.0,0.0,27.0,35.0,1.0,439.0,346.0,1.0,201.0,170.0,14.0,9838.0,8767.0,3.0,1723.0,1377.0,26173.0
