PRECINCT NAME,MALE,FEMALE,UNKNOWN,TOTAL
CITY POND,25.11,27.87,0.00,26.71
TOWN,21.52,27.47,0.00,25.09
ALMON,25.37,35.06,0.00,30.80
ALCOVY,36.94,34.43,0.00,35.53
COVINGTON MILLS,29.60,32.26,0.00,31.10
BREWERS,37.65,37.34,0.00,37.49
BRICK STORE,42.22,44.62,0.00,43.50
CEDAR SHOALS,26.72,29.33,0.00,28.20
LIVINGSTON,22.53,30.30,0.00,26.79
DOWNS,31.64,34.33,0.00,33.09
GUM CREEK,44.73,46.46,0.00,45.63
BEAVERDAM,25.34,33.26,0.00,29.71
LEGUINN,40.56,40.35,0.00,40.45
MANSFIELD,47.36,46.83,0.00,47.09
NEWBORN,45.13,46.99,0.00,46.08
OXFORD,39.42,39.32,0.00,39.37
ROCKY PLAINS,31.81,33.63,0.00,32.80
BUCK CREEK,28.98,34.05,100.0,31.73
STANSELLS,25.28,29.97,0.00,27.86
FAIRVIEW,18.62,24.93,0.00,22.51
CROWELL,21.38,29.72,0.00,26.42
HUB,49.81,48.12,0.00,48.95
TOTAL,31.28,34.37,50.00,32.99
