AGE GROUP,ASIA-PI,BLACK,HISP-LT,NATIVE-AM,OTHER,WHITE,UNKNOWN,TOTAL
18-24,14.43,11.46,12.73,29.41,19.42,23.55,13.93,19.44
25-29,11.94,13.18,17.18,0.00,10.00,18.98,14.26,17.18
30-34,11.56,17.06,18.72,22.22,19.38,24.35,19.68,22.21
35-39,12.43,22.36,18.46,0.00,12.50,29.64,19.51,26.46
40-44,16.42,26.39,24.16,33.33,21.43,33.81,23.47,30.75
45-49,18.34,29.90,32.07,60.00,19.78,38.06,24.72,34.80
50-54,24.10,33.62,26.04,25.00,30.68,45.64,25.71,41.12
55-59,22.70,41.12,42.47,83.33,17.50,47.92,28.52,44.79
60-64,21.50,47.07,34.07,66.67,23.53,54.94,33.02,51.21
65-OVER,26.86,49.14,27.62,50.00,24.49,55.53,38.75,52.76
TOTAL,19.11,29.04,23.35,33.33,19.53,39.60,22.46,35.41
