PRECINCT NAME,MALE,FEMALE,UNKNOWN,TOTAL
FIRST PRESBYTERIAN,45.80,45.94,50.00,45.88
JEA BUILDING,34.76,36.81,100.0,35.90
CENTRAL CHURCH OF,50.56,48.14,0.00,49.27
GRACE UNITED,39.81,40.02,0.00,39.93
IMMANUEL BAPTIST,20.15,27.01,0.00,23.78
ISLE OF HOPE SCHOOL,49.67,50.62,0.00,50.20
ISLE OF HOPE BAPTIST,47.93,47.65,0.00,47.76
THE SANCTUARY,38.37,41.88,0.00,40.32
ST LUKE CHURCH,43.65,45.17,0.00,44.41
FERGUSON AVE BAPTIST,44.23,44.39,50.00,44.32
ISLANDS CHRISTIAN CH,40.81,40.12,0.00,40.41
BLACKSHEAR,18.97,22.13,0.00,20.68
W W LAW CENTER,21.20,25.09,0.00,23.18
FELLOWSHIP OF LOVE,19.87,31.48,0.00,26.39
HOLY SPIRIT LUTHERAN,26.76,35.03,66.67,31.24
ELI WHITNEY COMPLEX,20.66,25.48,0.00,23.47
CHRIST COMMUNITY,24.98,34.02,100.0,30.34
SALVATION ARMY,22.94,30.50,100.0,27.23
S GARDENS CHRISTIAN,19.72,27.95,25.00,24.44
WILLIAMS COURT APTS,22.00,26.25,0.00,24.12
OLD COURTHOUSE,32.15,32.98,0.00,32.55
ROSE OF SHARON,31.69,34.28,0.00,33.03
SAVANNAH HIGH SCHOOL,16.71,25.24,0.00,21.76
FIRST AFRICAN BAPTIST,21.22,31.66,0.00,27.19
ALDERSGATE YOUTH,21.70,26.88,0.00,24.67
JENKINS HIGH SCHOOL,29.51,37.02,100.0,33.63
COKESBURY METHODIST,52.40,50.72,0.00,51.45
BIBLE BAPTIST CHURCH,22.67,30.55,0.00,27.10
SOUTHSIDE BAPTIST CH,25.44,32.52,100.0,29.49
THUNDERBOLT MUN,30.50,36.55,0.00,33.80
NEW COV 7 DAY ADV CH,19.16,22.89,20.00,21.27
RIVERVIEW HEALTH REH,31.07,40.23,0.00,36.07
ELI WHITNEY COMPLEX,44.95,52.53,0.00,48.90
FRANK MURRAY,34.37,33.58,0.00,33.95
LIGHTHOUSE BAPTIST,43.74,44.44,50.00,44.11
SAINT FRANCIS,42.58,41.13,0.00,41.76
FIRST BAPTIST CHURCH,43.63,43.72,100.0,43.71
WILMINGTON ISLAND,35.18,34.25,0.00,34.64
WILMINGTON ISLAND,47.86,45.15,100.0,46.41
GUARD HOUSE COMM,47.97,45.49,50.00,46.66
TYBEE IS SCH CAFE,44.13,40.85,100.0,42.43
ST PETERS EPISCOPAL,51.38,51.43,0.00,51.40
SKID IS PRES CHURCH,53.20,53.51,0.00,53.37
SKID METHODIST CH,54.62,54.21,0.00,54.37
SKIDAWAY ISLAND STAT,53.95,51.02,0.00,52.32
BARTLETT MIDDLE,20.66,30.24,0.00,26.05
SENIOR CITIZEN CENTER,16.13,22.98,0.00,19.82
BUTLER PRESBYTERIAN,19.86,25.94,0.00,23.27
LIBERTY CITY,30.27,40.83,25.00,36.16
WILDWOOD UNITED,17.05,24.72,0.00,21.42
ELKS LODGE,17.55,21.11,0.00,19.57
SAVANNAH PRIMITIVE,26.56,29.61,0.00,28.38
JONESVILLE BAPT CH,22.27,30.70,50.00,27.26
LARGO-TIBET ELEMENTA,22.98,26.31,33.33,24.95
WHITE BLUFF,29.31,31.25,0.00,30.41
WINDSOR FOREST,51.06,47.78,0.00,49.18
CRUSADER COMMUNITY,35.33,40.28,66.67,38.03
WINDSOR FOREST,28.32,30.83,0.00,29.73
THE LIGHT CHURCH,27.62,32.31,0.00,30.45
ST. FRANCIS CABRINI,28.53,32.07,0.00,30.73
TRINITY LUTHERAN,33.74,33.26,0.00,33.44
GEORGETOWN,32.60,33.38,0.00,33.01
BAMBOO FARMS,21.15,23.50,33.33,22.46
GARDEN CITY SENIOR,31.93,35.57,100.0,33.89
PB EDWARDS,35.17,35.63,0.00,35.41
LAKE SHORE COMMUNITY,25.73,28.23,0.00,27.08
WOODLAWN BAPTIST,23.83,25.31,0.00,24.65
POOLER CITY HALL,27.63,30.93,50.00,29.49
ROTHWELL BAPTIST,32.10,32.27,50.00,32.20
BLOOMINGDALE,33.95,30.97,0.00,32.41
SOUTHWEST BAPTIST,23.04,26.15,0.00,24.72
PROGRESSIVE REC CTR,21.08,21.80,0.00,21.47
SEVENTH DAY ADV CHR,24.30,26.40,0.00,25.40
CHRIST PRESBYTERIAN,31.70,32.30,33.33,32.03
GARDEN CITY CITY HAL,42.78,45.00,0.00,43.92
COASTAL CATHEDRAL,23.62,27.76,40.00,25.95
CIVIC CENTER,10.25,7.09,4.35,8.40
BULL STREE BAPTIST,22.60,22.91,0.00,22.74
SILK HOPE BAPTIST,26.45,25.33,100.0,25.97
WEST BROAD STREET,11.25,19.76,0.00,16.57
TOMPKINS RECREATION,15.25,24.37,0.00,20.52
WOODVILLE-TOMPKINS,21.59,31.41,0.00,26.91
RESURRECTION OF OUR,19.62,31.65,0.00,26.32
MOSES JACKSON,19.15,31.32,0.00,26.48
CARVER HEIGHTS COMM,21.17,36.54,0.00,29.56
BUTLER ELEMENTARY SC,32.65,49.23,0.00,42.13
BEACH HIGH SCHOOL,15.80,22.61,0.00,19.61
SAVANNAH CHRISTIAN S,20.19,21.32,0.00,20.74
GARDEN CITY REC CTR,14.01,22.54,0.00,18.73
99999,2.17,5.56,0.00,3.66
TOTAL,30.79,33.65,27.48,32.36
