PRECINCT NAME,MALE,FEMALE,UNKNOWN,TOTAL
BOLD SPRINGS,43.59,42.12,0.00,42.82
WHATLEY,45.20,43.27,0.00,44.20
WALKER PARK,39.32,41.09,0.00,40.24
GRATIS,51.78,55.03,0.00,53.37
BETWEEN,43.83,42.54,0.00,43.14
WALNUT GROVE,40.87,39.35,75.00,40.13
LOGANVILLE NORTH,34.74,35.05,0.00,34.90
SOCIAL CIRCLE,36.36,38.35,0.00,37.46
SOUTH MONROE,34.77,35.43,0.00,35.13
NORTH MONROE,25.14,27.88,0.00,26.75
LOGANVILLE SOUTH,34.38,35.44,0.00,34.94
WEST WALTON,43.99,44.26,0.00,44.13
BROKEN ARROW,37.60,38.73,0.00,38.19
BAY CREEK,41.57,40.53,0.00,41.02
E MONROE,26.46,27.65,0.00,27.15
W MONROE,46.54,47.70,0.00,47.14
TARA,35.26,36.04,0.00,35.66
MOUNTAIN,38.28,41.03,0.00,39.77
JERSEY,46.87,46.96,100.0,46.95
BLASINGAME,46.00,48.98,0.00,47.54
GOOD HOPE,45.60,46.12,0.00,45.87
88888,66.67,80.00,0.00,75.00
TOTAL,38.56,38.68,28.57,38.62
