PRECINCT NAME,MALE,FEMALE,UNKNOWN,TOTAL
KIOKEE BAPT CHURCH,43.29,41.28,16.67,42.18
LEWIS METHODIST,37.67,38.54,0.00,38.11
WOODLAWN BAPT,43.69,48.77,0.00,46.24
PATRIOTS PARK,30.81,30.96,75.00,30.93
HARLEM MIDDLE SCHOOL,31.40,31.58,0.00,31.45
HARLEM BAPTIST,30.21,35.24,100.0,33.06
BESSIE THOMAS CENTER,36.53,36.46,0.00,36.49
PHILADELPHIA CHURCH,35.52,34.82,33.33,35.13
GROVETOWN CITY HALL,22.07,23.60,100.0,22.94
GROVETOWN METHODIST,25.22,26.30,0.00,25.81
G A APOSTOLIC CHURCH,37.35,35.84,0.00,36.53
GROVETOWN MIDDLE,27.58,26.22,0.00,26.75
WARREN BAPTIST,27.03,27.01,25.00,27.01
EUBANK/BLANCHARD CTR,40.07,42.08,0.00,41.12
SECOND MT. CARMEL,29.23,36.57,0.00,33.09
DAMASCUS BAPT,43.99,41.56,0.00,42.67
COL CTY BOARD OF EDU,35.37,35.53,0.00,35.45
GREENBRIER HIGH,38.98,43.03,100.0,41.11
REDEEMER CHURCH,38.74,38.36,0.00,38.53
RIVERSIDE ELEMENTARY,37.92,37.60,0.00,37.70
GRACE BAPTIST CHURCH,35.03,36.63,50.00,35.88
CHRIST SANCTIFIED,35.54,36.30,0.00,35.92
BLANCHARD PARK,32.79,36.07,0.00,34.49
MTZ COL FIRE DEPT #4,27.14,30.48,0.00,28.93
BELAIR BAPTIST CHURCH,39.69,42.83,40.00,41.33
MARVIN METHODIST,32.78,30.90,0.00,31.76
WESTSIDE BAPT CHURCH,43.96,43.55,33.33,43.73
TRINITY BAPT CHURCH,34.95,34.12,0.00,34.51
ABILENE BAPTIST,32.66,33.52,0.00,33.10
AUGUSTA CHRISTIAN,31.80,33.76,0.00,32.85
STEVENS CREEK ELEM,42.86,42.14,0.00,42.48
GOSPEL WATER BRANCH,41.84,42.15,100.0,42.11
GENESIS CHURCH,40.80,40.67,0.00,40.65
STEVENS CREEK,43.97,45.16,33.33,44.57
MTZ COL FIRE HDQTR.,28.07,29.25,0.00,28.71
LAKESIDE MIDDLE,29.96,28.59,100.0,29.30
MARTINEZ BAPTIST,28.44,29.78,0.00,29.19
GOLD CROSS EMS,36.43,38.55,0.00,37.56
CHURCH OF OUR SAVIOR,30.21,31.76,0.00,31.03
WEST ACRES BAPTIST,38.13,36.20,0.00,37.05
JOURNEY COMM.,44.58,47.96,0.00,46.29
WESLEY METHODIST,40.88,39.33,50.00,40.06
COL CTY MAIN LIBRARY,36.72,34.48,0.00,35.51
"CHRIST CHURCH,",36.76,38.86,0.00,37.79
BLUERIDGE ELEMENTARY,29.46,31.21,0.00,30.40
CHRIST THE KING CH,40.81,41.06,0.00,40.88
88888,inf00,300.0,0.00,600.0
99999,0.00,0.00,0.00,0.00
TOTAL,35.20,35.60,23.33,35.40
