AGE GROUP,ASIA-PI,BLACK,HISP-LT,NATIVE-AM,OTHER,WHITE,UNKNOWN,TOTAL
18-24,7.22,7.01,10.50,9.09,9.75,18.28,10.87,10.98
25-29,9.52,7.70,6.15,0.00,10.57,14.88,10.76,10.62
30-34,5.06,11.47,7.67,18.18,12.50,15.62,12.88,13.03
35-39,11.88,13.46,9.50,0.00,13.21,19.20,13.23,15.62
40-44,15.96,17.45,13.31,20.00,14.73,25.84,15.41,20.49
45-49,16.94,21.92,14.11,0.00,14.77,30.94,18.63,25.19
50-54,13.97,28.59,22.99,0.00,20.62,36.72,19.78,31.26
55-59,10.81,33.22,24.55,0.00,22.22,40.44,23.06,35.39
60-64,15.13,39.46,28.16,0.00,13.85,46.34,29.05,41.70
65-OVER,20.78,43.36,25.81,37.50,18.80,48.64,32.66,45.55
TOTAL,13.01,22.06,14.33,9.64,13.56,32.37,16.51,25.79
