AGE GROUP,ASIA-PI,BLACK,HISP-LT,NATIVE-AM,OTHER,WHITE,UNKNOWN,TOTAL
18-24,14.08,11.08,14.76,28.57,12.22,19.91,11.91,13.58
25-29,14.89,11.14,10.07,0.00,11.67,15.99,10.00,12.58
30-34,4.880,17.82,12.50,0.00,11.27,20.78,12.02,17.51
35-39,14.29,25.51,16.16,33.33,32.20,24.62,17.39,23.90
40-44,7.690,31.61,14.12,0.00,8.700,29.81,22.57,29.17
45-49,10.53,33.61,14.89,50.00,28.33,38.22,26.10,33.33
50-54,21.74,38.01,33.71,100.0,21.05,47.59,32.04,40.35
55-59,17.78,42.38,19.12,0.00,24.39,50.93,33.52,44.64
60-64,16.67,47.95,26.09,0.00,34.88,54.17,35.91,49.38
65-OVER,22.41,47.09,23.75,25.00,25.81,54.89,38.89,50.56
TOTAL,15.41,30.20,17.16,23.08,18.24,42.13,23.28,33.31
