AGE GROUP,ASIA-PI,BLACK,HISP-LT,NATIVE-AM,OTHER,WHITE,UNKNOWN,TOTAL
18-24,10.00,3.80,11.76,28.57,7.55,16.31,13.09,15.20
25-29,15.00,2.90,13.33,50.00,7.41,15.40,15.15,15.07
30-34,9.68,5.88,18.60,0.00,22.22,21.27,21.90,20.83
35-39,4.55,16.48,19.44,50.00,10.53,26.93,23.70,26.03
40-44,13.04,14.44,22.58,0.00,0.00,29.62,21.86,28.21
45-49,16.67,17.50,17.65,0.00,28.57,33.20,26.90,32.08
50-54,23.53,16.67,8.33,0.00,41.67,38.35,24.06,36.48
55-59,15.79,27.59,22.22,0.00,17.65,40.05,27.85,38.78
60-64,6.25,30.77,18.75,0.00,12.50,44.65,35.40,43.32
65-OVER,18.75,42.59,17.65,0.00,8.33,44.26,37.15,43.65
TOTAL,13.25,18.09,16.49,22.22,13.74,33.22,23.12,31.62
