AGE GROUP,ASIA-PI,BLACK,HISP-LT,NATIVE-AM,OTHER,WHITE,UNKNOWN,TOTAL
18-24,26.56,15.58,25.86,0.00,10.53,29.76,24.94,28.23
25-29,5.000,13.75,20.00,0.00,11.76,20.55,19.46,19.79
30-34,16.00,21.92,16.67,0.00,15.38,31.78,32.31,30.93
35-39,30.77,29.35,35.00,0.00,34.78,40.91,33.05,39.30
40-44,18.18,29.63,42.42,0.00,28.00,41.27,37.40,40.03
45-49,20.00,28.71,31.43,0.00,38.89,47.41,34.15,44.91
50-54,18.75,33.64,42.31,0.00,41.67,51.20,37.57,48.73
55-59,17.78,38.18,30.43,0.00,36.36,57.37,39.50,54.57
60-64,16.13,50.49,50.00,0.00,16.67,58.45,34.09,56.26
65-OVER,26.83,43.53,7.140,50.00,53.33,61.00,42.18,59.05
TOTAL,19.85,32.50,30.23,14.29,29.41,46.64,32.21,44.14
