AGE GROUP,ASIA-PI,BLACK,HISP-LT,NATIVE-AM,OTHER,WHITE,UNKNOWN,TOTAL
18-24,0.00,9.01,20.00,0.00,0.00,18.99,5.17,11.80
25-29,28.57,10.42,10.00,0.00,0.00,16.60,12.77,12.89
30-34,0.00,14.15,12.50,0.00,0.00,25.75,23.40,19.20
35-39,0.00,17.44,0.00,0.00,0.00,32.34,6.52,23.30
40-44,33.33,23.28,14.29,0.00,20.00,37.00,10.00,29.07
45-49,0.00,27.16,50.00,66.67,33.33,37.48,17.02,32.23
50-54,0.00,27.45,57.14,0.00,42.86,39.47,13.04,32.93
55-59,0.00,35.78,0.00,0.00,0.00,43.07,25.64,38.64
60-64,40.00,38.45,12.50,0.00,33.33,48.76,31.43,43.24
65-OVER,37.50,38.91,33.33,0.00,33.33,52.96,30.36,46.92
TOTAL,21.62,24.85,21.33,22.22,16.36,39.05,14.73,31.06
