PRECINCT NAME,MALE,FEMALE,UNKNOWN,TOTAL
1A,36.08,36.86,0.00,36.48
1B,30.90,31.03,0.00,30.97
1C,33.33,34.95,0.00,34.16
1D,37.92,36.93,0.00,37.38
2A,34.96,36.22,33.33,35.61
2B,29.81,31.54,0.00,30.68
2C,33.43,33.36,0.00,33.39
3A,30.97,29.10,100.0,30.11
3B,32.78,30.68,0.00,31.70
3C,31.31,32.10,0.00,31.71
3D,30.51,30.93,50.00,30.75
4A,28.72,29.41,33.33,29.09
4B,26.30,31.87,0.00,29.18
4C,26.85,25.66,33.33,26.24
5A,31.86,28.92,0.00,30.32
5B,26.32,27.17,0.00,26.77
5C,37.38,35.54,0.00,36.36
TOTAL,31.19,31.35,31.58,31.28
