AGE GROUP,ASIA-PI,BLACK,HISP-LT,NATIVE-AM,OTHER,WHITE,UNKNOWN,TOTAL
18-24,0.00,11.05,12.50,0.00,0.00,17.12,13.24,13.40
25-29,0.00,14.36,0.00,0.00,0.00,16.76,19.15,15.18
30-34,25.00,17.38,7.690,0.00,0.00,26.10,26.67,21.88
35-39,50.00,18.75,25.00,0.00,25.00,33.52,11.43,25.96
40-44,25.00,22.22,0.00,0.00,66.67,36.78,30.56,29.68
45-49,33.33,26.43,38.46,0.00,0.00,43.43,39.02,36.02
50-54,0.00,29.45,0.00,0.00,33.33,44.79,19.64,36.93
55-59,55.56,40.06,50.00,0.00,33.33,47.33,40.54,44.65
60-64,0.00,39.17,66.67,0.00,0.00,57.60,44.62,51.42
65-OVER,0.00,36.43,40.00,0.00,50.00,63.60,60.08,59.10
TOTAL,22.22,26.34,17.98,0.00,23.53,50.77,39.16,42.04
