PRECINCT NAME,MALE,FEMALE,UNKNOWN,TOTAL
WYNNTON/BRITT,21.65,26.12,0.00,24.26
CARVER/MACK,17.70,23.30,0.00,21.07
ST JOHN/BELVEDERE,24.96,31.72,0.00,28.87
BRITT DAVID,28.17,27.50,0.00,27.78
ST. PETER,35.17,36.09,0.00,35.68
CORNERSTONE,29.01,28.38,33.33,28.67
COLUMBUS TECH,17.39,17.55,0.00,17.48
ST MARK/HEIFERHORN,39.52,39.35,25.00,39.42
WYNNBROOK,46.68,43.08,0.00,44.68
CUSSETA RD,11.76,16.93,0.00,14.90
NATIONAL INFANTRY,8.68,12.68,0.00,11.00
EDDY/KEY,13.93,15.34,0.00,14.72
MT PILGRIM,22.93,27.35,0.00,25.50
FAITH TABERNACLE,20.94,27.01,0.00,24.49
FORT/WADDELL,18.55,22.27,33.33,20.75
ROTHSCHILD,18.06,22.37,0.00,20.53
GENTIAN/REESE @LDS,30.35,28.19,33.33,29.11
ST PAUL/CLUBVIEW,34.73,34.84,0.00,34.78
MOON/MORNINGSIDE,30.53,29.39,0.00,29.88
ST ANDREWS/MIDLAND,30.19,30.11,0.00,30.13
SALVATION ARMY,26.65,28.05,50.00,27.46
FIRST AFRICAN,15.97,15.25,0.00,15.56
EPWORTH UMC,22.82,23.93,0.00,23.44
MARIANNA GALLOPS,15.73,18.98,0.00,17.55
EDGEWOOD BAPTIST,25.93,28.56,0.00,27.39
PSALMOND/MATHEWS,36.61,35.65,66.67,36.11
88888,500.0,500.0,0.00,500.0
99999,0.00,0.00,0.00,0.00
TOTAL,24.95,26.43,15.91,25.79
