AGE GROUP,ASIA-PI,BLACK,HISP-LT,NATIVE-AM,OTHER,WHITE,UNKNOWN,TOTAL
18-24,12.50,0.00,6.120,50.00,0.00,14.02,6.960,12.68
25-29,0.00,0.00,0.00,0.00,0.00,13.68,6.350,12.30
30-34,0.00,0.00,0.00,0.00,0.00,17.17,8.930,15.95
35-39,0.00,0.00,0.00,0.00,0.00,19.78,11.94,18.41
40-44,0.00,0.00,7.690,0.00,0.00,25.32,13.16,23.72
45-49,16.67,25.00,0.00,0.00,0.00,27.69,16.67,26.68
50-54,50.00,16.67,6.670,100.0,0.00,28.90,12.50,27.44
55-59,0.00,33.33,12.50,0.00,50.00,31.33,17.31,30.25
60-64,33.33,0.00,25.00,50.00,50.00,35.48,18.75,34.61
65-OVER,0.00,33.33,10.00,0.00,50.00,47.02,34.52,46.24
TOTAL,10.26,12.28,6.370,27.27,18.60,32.82,17.72,31.26
