AGE GROUP,ASIA-PI,BLACK,HISP-LT,NATIVE-AM,OTHER,WHITE,UNKNOWN,TOTAL
18-24,0.00,4.670,3.980,0.00,3.850,4.720,2.620,4.320
25-29,0.00,7.310,3.910,0.00,0.00,3.540,2.020,4.720
30-34,12.50,10.04,6.560,0.00,0.00,5.360,0.00,6.620
35-39,0.00,12.27,4.350,0.00,0.00,7.500,1.230,8.460
40-44,0.00,13.83,6.900,0.00,12.50,7.320,1.720,8.920
45-49,14.29,21.47,4.550,0.00,0.00,11.27,2.000,13.51
50-54,9.090,25.48,3.030,0.00,16.67,14.41,2.000,17.15
55-59,14.29,28.33,0.00,0.00,0.00,18.21,4.170,20.18
60-64,0.00,29.06,18.75,0.00,0.00,19.48,10.42,21.67
65-OVER,0.00,37.38,8.000,0.00,28.57,25.29,12.50,27.27
TOTAL,4.170,19.34,4.850,0.00,6.480,13.91,3.620,14.59
