AGE GROUP,ASIA-PI,BLACK,HISP-LT,NATIVE-AM,OTHER,WHITE,UNKNOWN,TOTAL
18-24,3.32,3.16,2.53,4.92,4.48,4.84,3.40,3.74
25-29,4.00,3.92,3.71,3.03,4.60,5.12,3.72,4.41
30-34,2.27,6.93,3.21,2.78,7.12,7.58,4.75,6.84
35-39,4.87,10.05,4.24,8.70,5.64,10.02,6.00,9.38
40-44,4.76,13.78,6.81,10.53,10.92,12.33,6.58,12.17
45-49,7.96,18.25,6.23,0.00,8.75,14.01,7.27,14.78
50-54,2.14,20.90,4.33,5.88,11.45,16.22,7.10,16.94
55-59,7.39,25.61,7.80,9.09,14.94,19.96,12.62,21.12
60-64,5.95,31.77,11.90,10.00,10.58,25.06,12.26,26.03
65-OVER,8.39,39.14,12.08,25.00,20.96,32.00,16.79,32.83
TOTAL,4.95,16.67,5.04,7.25,8.12,17.64,7.56,15.90
