AGE GROUP,ASIA-PI,BLACK,HISP-LT,NATIVE-AM,OTHER,WHITE,UNKNOWN,TOTAL
18-24,1.64,2.17,3.33,4.76,4.73,6.76,2.61,4.92
25-29,6.12,2.52,5.52,0.00,2.59,6.93,4.35,5.64
30-34,5.26,3.06,4.10,0.00,7.81,9.19,6.68,7.68
35-39,10.20,7.09,5.13,0.00,9.09,12.16,10.58,10.87
40-44,11.11,9.33,5.05,33.33,9.30,15.62,10.85,13.80
45-49,13.16,11.09,9.28,0.00,12.77,18.32,10.94,16.17
50-54,7.41,13.46,4.40,0.00,16.22,21.05,12.21,18.69
55-59,0.00,15.46,5.97,12.50,18.75,24.81,14.21,22.06
60-64,10.53,21.97,10.87,0.00,9.38,31.00,14.62,27.91
65-OVER,13.73,27.40,9.89,20.00,22.00,38.92,19.10,35.87
TOTAL,7.56,10.34,5.48,4.94,8.84,20.72,9.88,17.45
