AGE GROUP,ASIA-PI,BLACK,HISP-LT,NATIVE-AM,OTHER,WHITE,UNKNOWN,TOTAL
18-24,0.00,7.07,0.00,0.00,18.18,6.98,2.50,6.20
25-29,16.67,3.19,0.00,0.00,11.11,6.56,7.08,6.34
30-34,0.00,2.38,40.00,0.00,14.29,9.96,8.25,9.25
35-39,0.00,10.00,0.00,0.00,0.00,12.15,9.76,11.63
40-44,0.00,11.11,0.00,0.00,0.00,18.64,13.75,17.60
45-49,42.86,21.28,14.29,0.00,0.00,18.44,18.42,18.68
50-54,33.33,21.05,25.00,0.00,33.33,25.99,11.25,24.62
55-59,0.00,20.35,0.00,0.00,33.33,27.33,8.89,25.87
60-64,50.00,34.44,66.67,100.0,25.00,35.96,20.31,34.92
65-OVER,16.67,41.13,16.67,0.00,50.00,43.98,31.63,43.08
TOTAL,21.88,20.98,12.07,12.50,18.18,23.59,11.49,22.32
