AGE GROUP,ASIA-PI,BLACK,HISP-LT,NATIVE-AM,OTHER,WHITE,UNKNOWN,TOTAL
18-24,1.500,4.420,1.640,0.00,5.930,5.630,2.720,4.660
25-29,1.280,3.550,5.350,0.00,0.00,4.700,3.360,4.240
30-34,0.00,6.400,0.990,100.0,4.550,6.650,4.520,6.090
35-39,1.820,9.520,5.670,0.00,4.290,8.060,5.860,7.810
40-44,3.810,12.58,6.280,0.00,9.460,11.38,6.840,10.78
45-49,5.360,13.56,5.880,25.00,10.17,13.43,7.510,12.52
50-54,10.84,18.30,5.260,0.00,12.50,16.86,9.920,15.97
55-59,3.900,20.21,5.730,16.67,9.090,19.71,11.19,18.53
60-64,2.080,26.21,9.910,0.00,16.67,26.06,14.95,24.62
65-OVER,6.590,34.11,10.77,0.00,22.58,34.35,19.40,32.70
TOTAL,3.750,15.50,5.330,6.380,8.400,17.30,8.070,15.48
