AGE GROUP,ASIA-PI,BLACK,HISP-LT,NATIVE-AM,OTHER,WHITE,UNKNOWN,TOTAL
18-24,6.74,3.51,5.70,4.57,5.54,9.38,4.78,5.60
25-29,6.01,4.43,6.87,0.89,5.36,8.29,5.05,5.98
30-34,6.57,8.04,8.23,6.67,8.31,11.10,7.62,9.03
35-39,8.34,11.67,8.55,9.09,10.37,13.61,10.00,11.84
40-44,8.60,14.87,10.82,5.88,11.48,16.32,11.95,14.52
45-49,10.39,18.06,12.60,7.25,12.47,18.14,13.27,16.91
50-54,10.31,19.70,12.76,2.94,12.87,20.79,13.95,18.86
55-59,10.60,22.38,11.22,7.89,17.90,23.98,15.37,21.77
60-64,9.82,29.00,12.39,7.41,19.12,29.27,18.43,27.29
65-OVER,11.12,38.30,13.06,12.73,21.16,37.13,24.44,35.52
TOTAL,8.56,16.25,9.10,5.91,11.16,20.32,11.71,16.74
