PRECINCT NAME,MALE,FEMALE,UNKNOWN,TOTAL
HOLLIS HAND,24.72,22.34,0.00,23.34
ADMINISTRATION BLDG,7.94,9.74,11.11,9.02
HAMMETT RD,12.81,13.51,0.00,13.19
GRIGGS CENTER,9.92,12.46,0.00,11.38
WEST POINT,8.49,10.63,0.00,9.70
HOGANSVILLE,12.13,10.56,0.00,11.26
EAST VERNON,23.01,17.96,0.00,20.32
ROSEMONT,20.66,18.49,0.00,19.52
MOUNTVILLE,18.39,17.57,0.00,17.93
MCLENDON,19.71,17.39,0.00,18.47
LONG CANE,18.88,17.97,0.00,18.36
GARDNER NEWMAN,15.34,13.32,0.00,14.25
GRAY HILL,16.36,16.05,0.00,16.14
HIGHLAND,13.62,14.80,0.00,14.24
NORTHSIDE,20.49,19.16,0.00,19.74
88888,0.00,0.00,0.00,0.00
99999,0.00,0.00,0.00,0.00
TOTAL,16.49,15.42,1.85,15.88
