,ASIAN-PACIFIC,BLACK,LATINO,NATIVE-AMERICAN,OTHER,WHITE,UNKNOWN,TOTAL VOTERS
0,33.33,54.51,33.33,33.33,33.33,56.45,33.33,55.51
1,50.0,57.79,50.0,50.0,50.0,57.8,50.0,57.78
2,100.0,58.46,100.0,100.0,100.0,61.07,100.0,59.84
3,42.86,68.14,42.86,42.86,42.86,68.28,42.86,68.17
4,100.0,69.1,100.0,100.0,100.0,70.45,100.0,69.86
5,0.0,66.11,0.0,0.0,0.0,68.28,0.0,67.26
6,81.82,66.03,81.82,81.82,81.82,66.27,81.82,66.21
7,,69.3,,,,69.17,,69.23
8,50.0,45.13,50.0,50.0,50.0,46.31,50.0,45.78
9,100.0,46.56,100.0,100.0,100.0,48.78,100.0,47.8
10,75.0,54.73,75.0,75.0,75.0,56.01,75.0,55.44
11,66.67,51.44,66.67,66.67,66.67,53.92,66.67,52.76
12,60.0,44.1,60.0,60.0,60.0,45.57,60.0,44.95
13,42.86,45.38,42.86,42.86,42.86,51.98,42.86,49.05
14,33.33,37.65,33.33,33.33,33.33,43.28,33.33,40.79
15,50.0,45.65,50.0,50.0,50.0,51.49,50.0,49.07
16,0.0,40.33,0.0,0.0,0.0,46.06,0.0,43.46
17,0.0,29.3,0.0,0.0,0.0,40.41,0.0,36.2
18,40.0,30.32,40.0,40.0,40.0,40.2,40.0,35.95
19,,0.0,,,,0.0,,0.0
20,,0.0,,,,0.0,,0.0
21,50.0,52.3,50.0,50.0,50.0,54.79,50.0,53.67
