,ASIAN-PACIFIC,BLACK,LATINO,NATIVE-AMERICAN,OTHER,WHITE,UNKNOWN,TOTAL VOTERS
0,50.0,34.14,50.0,50.0,50.0,46.99,50.0,41.78
1,62.5,49.35,62.5,62.5,62.5,56.51,62.5,53.54
2,50.0,33.91,50.0,50.0,50.0,48.95,50.0,42.67
3,0.0,44.52,0.0,0.0,0.0,52.7,0.0,49.12
4,25.0,52.71,25.0,25.0,25.0,54.64,25.0,53.73
5,50.0,63.8,50.0,50.0,50.0,64.18,50.0,63.99
6,0.0,65.04,0.0,0.0,0.0,65.76,0.0,65.4
7,33.33,62.73,33.33,33.33,33.33,67.89,33.33,65.42
8,66.67,62.73,66.67,66.67,66.67,64.38,66.67,63.59
9,71.43,58.96,71.43,71.43,71.43,63.04,71.43,61.18
10,,52.14,,,,58.37,,55.49
11,71.43,56.63,71.43,71.43,71.43,64.02,71.43,60.58
12,100.0,54.83,100.0,100.0,100.0,58.73,100.0,57.03
13,100.0,53.96,100.0,100.0,100.0,60.9,100.0,57.82
14,,0.0,,,,0.0,,0.0
15,,0.0,,,,0.0,,0.0
16,54.24,53.32,54.24,54.24,54.24,58.36,54.24,56.09
