CONGRESSIONAL DISTRICT,UNKNOWN,UNKNOWN FEMALE,UNKNOWN MALE,OTHER UNKNOWN,OTHER FEMALE,OTHER MALE,NATIVE-AM UNKNOWN,NATIVE-AM FEMALE,NATIVE-AM MALE,HISP-LT UNKNOWN,HISP-LT FEMALE,HISP-LT MALE,ASIA-PI UNKNOWN,ASIA-PI FEMALE,ASIA-PI MALE,WHITE UNKNOWN,WHITE FEMALE,WHITE MALE,BLACK UNKNOWN,BLACK FEMALE,BLACK MALE,TOTAL
Congressional District 1,16.38,21.96,21.52,0.00,18.81,20.72,0.00,21.21,18.66,25.00,14.05,15.66,0.00,18.45,17.88,30.77,39.67,43.42,23.08,39.40,31.42,37.68
Congressional District 2,16.00,26.86,22.48,0.00,20.17,20.22,0.00,13.98,22.08,25.00,14.70,14.26,0.00,19.75,18.10,46.15,44.41,47.47,11.83,42.28,33.35,40.79
Congressional District 3,16.22,33.71,30.89,30.00,27.84,25.84,0.00,23.46,31.15,11.11,22.95,22.86,0.00,23.67,20.96,30.88,46.25,48.66,41.18,44.39,35.35,44.09
Congressional District 4,33.12,32.53,24.82,54.55,31.27,28.59,0.00,20.35,24.86,20.00,25.69,23.46,27.27,22.57,24.19,32.14,52.92,53.41,41.56,49.64,38.80,45.21
Congressional District 5,12.46,33.76,26.50,0.00,28.57,26.72,0.00,15.03,17.09,0.00,25.97,24.18,7.69,23.40,22.69,53.49,45.24,46.20,23.02,43.44,31.60,38.90
Congressional District 6,25.90,30.97,30.45,17.65,31.91,33.36,0.00,24.56,29.73,25.00,28.65,27.80,24.00,24.48,27.46,40.16,52.03,53.52,27.78,40.50,33.50,46.51
Congressional District 7,40.84,32.83,31.01,23.08,30.43,31.46,20.00,22.55,24.44,24.53,24.20,22.50,15.71,18.32,20.52,35.24,49.43,51.47,32.33,44.95,36.50,42.89
Congressional District 8,9.68,25.89,23.55,0.00,24.12,24.37,0.00,20.69,25.30,20.00,18.25,16.68,0.00,23.97,21.21,13.16,44.50,48.48,10.71,40.72,33.39,42.38
Congressional District 9,21.18,33.63,33.53,50.00,26.66,27.74,0.00,26.36,34.04,23.08,19.11,15.51,0.00,21.54,16.82,31.94,47.19,50.00,20.00,38.52,29.94,45.78
Congressional District 10,35.04,34.56,31.35,75.00,30.14,28.12,0.00,27.72,38.67,16.67,24.98,25.01,100.0,22.08,20.66,41.38,49.55,51.36,33.33,45.71,36.08,46.34
Congressional District 11,20.69,29.30,27.39,25.00,31.78,31.39,0.00,27.40,34.94,15.38,24.48,24.33,20.00,25.94,26.50,27.71,47.74,50.00,25.49,41.44,33.62,44.54
Congressional District 12,25.00,25.10,23.24,50.00,22.18,22.47,0.00,17.46,32.08,16.67,17.03,19.01,0.00,25.73,24.95,29.31,44.30,47.06,19.39,40.71,33.98,41.00
Congressional District 13,20.29,37.48,28.73,14.29,32.53,29.83,0.00,32.12,22.00,0.00,25.01,22.30,18.18,21.56,21.30,36.36,48.41,50.52,31.68,50.84,40.47,45.31
Congressional District 14,23.33,25.36,23.81,0.00,20.53,21.47,0.00,13.83,22.22,0.00,15.28,14.12,0.00,21.12,16.78,33.33,38.72,42.23,25.00,41.08,32.91,38.28
TOTAL,25.79,31.15,27.71,26.67,28.54,28.15,12.50,22.24,26.61,18.90,22.41,21.15,16.56,22.08,22.75,34.69,46.26,48.80,26.69,44.54,35.10,42.89
